BG579	лошо (adjective)
BG2422	романи (noun)
BG212	ташак (noun)
BG252	защитник (noun)
BG1482	необразован (adjective)
BG680	Кози (noun)
BG728	професори (noun)
BG165	не знам нищо (noun)
BG1201	шут (noun)
BG2319	мъка (noun)
BG1430	момиче (noun)
BG547	суета (noun)
BG709	пречка (noun)
BG2193	жаба (noun)
BG670	род (noun)
BG616	банален (noun)
BG763	шибан (noun)
BG903	съгласие (noun)
BG589	затворници (noun)
BG2371	Конспиративни теории (noun)
BG1730	зъл (adjective)
BG580	паст (noun)
BG1739	беден (noun)
BG2282	насилник (noun)
BG279	будала (noun)
BG380	черно (noun)
BG381	Черно (noun)
BG1926	детектив (noun)
BG1384	Евреите (noun)
BG2257	беден (adjective)
BG1921	Убийство (noun)
BG377	зло (noun)
BG2424	Барака (noun)
BG411	копеле (noun)
BG1066	изобилие (noun)
BG767	зайци (noun)
BG970	Престъпленията (noun)
BG1550	насекоми (noun)
BG95	дреболии (noun)
BG476	крава (noun)
BG480	Теле (noun)
BG2009	картофи (noun)
BG2069	страна работа (noun)
BG1708	Паразити (noun)
BG1551	Насекоми (noun)
BG489	шеф (noun)
BG1885	бяла (noun)
BG364	козел (noun)
BG1119	грешница (noun)
BG1247	фашизма (noun)
BG2162	различни (adjective)
BG2125	защита (noun)
BG1291	не сметка (noun)
BG2359	измами (noun)
BG924	отхвърли (noun)
BG744	тълпа (noun)
BG70	инат (adjective)
BG1756	Плъх (noun)
BG2099	новородени (noun)
BG1533	нещастни (adjective)
BG1112	морал (noun)
BG30	злоупотреба (noun)
BG2100	бебе (noun)
BG2084	банален (adjective)
BG1871	черен (noun)
BG2367	Конспиративна теория (noun)
BG1698	селяндур (noun)
BG1024	гъз (noun)
BG1018	задната (noun)
BG1997	почивам (verb)
BG167	Магаре (noun)
BG1707	Паразит (noun)
BG868	екипаж (noun)
BG904	момче (noun)
BG1715	папагали (noun)
BG1385	евреин (noun)
BG540	българка (noun)
BG1390	Стадо (noun)
BG1474	бездействие (noun)
BG741	зеле (noun)
BG2423	Ромски (noun)
BG930	мадам (noun)
BG782	финансите (noun)
BG1123	нещастник (noun)
BG568	тълпата (noun)
BG2266	грозен (adjective)
BG1971	смешник (noun)
BG2062	ядосан (adjective)
BG2093	пилета (noun)
BG2171	мръсен (adjective)
BG1322	крадци (noun)
BG1669	полицаи (noun)
BG2300	Терорист (noun)
BG1193	каша (noun)
BG976	престъпления (noun)
BG1672	мафия (noun)
BG1827	пастир (noun)
BG200	бардак (noun)
BG2236	чакал (noun)
BG605	казино (noun)
BG127	видове (noun)
BG1582	гняв (noun)
BG1238	гангстер (noun)
BG1245	Фашист (noun)
BG635	обида (noun)
BG285	лапа (noun)
BG1616	тоалетна (noun)
BG1614	тоалетната (noun)
BG1611	тоалетните (noun)
BG2416	ром (noun)
BG50	академик (noun)
BG311	фалш (noun)
BG677	чиновник (noun)
BG2033	слух (noun)
BG467	крави (noun)
BG1973	червей (noun)
BG1337	проститутки (noun)
BG2074	плагиатство (noun)
BG2248	глупаво (adjective)
BG2349	птичка (noun)
BG1303	незаконен (adjective)
BG2116	горделив (adjective)
BG1330	паразит (noun)
BG2267	противен (adjective)
BG7	мързел (noun)
BG1923	убийството (noun)
BG1198	стадо (noun)
BG1340	джон (noun)
BG140	клевета (noun)
BG99	агресивен (adjective)
BG626	кучка (noun)
BG2316	страдание (noun)
BG706	проблем (noun)
BG1706	паразити (noun)
BG1469	бедност (noun)
BG1936	домат (noun)
BG2101	дете (noun)
BG1392	масите (noun)
BG2001	умирам (verb)
BG1924	убийство (noun)
BG156	палячо (noun)
BG345	фанатик (noun)
BG1343	Проститутки (noun)
BG2237	еврейски (adjective)
BG1518	лъжец (noun)
BG2274	бесен (adjective)
BG1338	Курва (noun)
BG122	животно (noun)
BG242	адвокат (noun)
BG236	варвари (noun)
BG1612	тоалетна, (noun)
BG310	лъжа (noun)
BG109	неграмотен (noun)
BG1620	тоалетни (noun)
BG1998	умре (verb)
BG746	множество (noun)
BG2000	почина (verb)
BG928	дама (noun)
BG619	кретен (noun)
BG1406	домакинство (noun)
BG1427	мацка (noun)
BG650	измет (noun)
BG1106	морала (noun)
BG2151	обир (noun)
BG2026	ненормален (adjective)
BG731	проф. (noun)
BG1087	работник (noun)
BG1495	преподава (noun)
BG967	престъпление (noun)
BG339	тъп (adjective)
BG1746	гордост (noun)
BG1786	канализация (noun)
BG701	кур (noun)
BG623	малоумник (noun)
BG1963	змия (noun)
BG1166	бързо един (noun)
BG1325	Крадец (noun)
BG1447	увреждания (noun)
BG258	куче (noun)
BG777	хоп (noun)
BG1086	служител (noun)
BG1643	комари (noun)
BG2091	пиле (noun)
BG504	селянин (noun)
BG1748	Гордост (noun)
BG2104	зверски (adjective)
BG918	хунта (noun)
BG1491	учител (noun)
BG816	смет (noun)
BG486	Крави (noun)
BG2103	животински (adjective)
BG509	бизнесмен (noun)
BG2115	нормален (adjective)
BG1887	black (noun)
BG512	Бизнесмен (noun)
BG658	кучета (noun)
BG39	фактор (noun)
BG2136	счетоводител (noun)
BG1509	дами (noun)
BG1019	отзад (noun)
BG1513	псевдо (noun)
BG867	екипажа (noun)
BG410	лайно (noun)
BG2256	политически (adjective)
BG1824	Глупост (noun)
BG1332	куриер (noun)
BG1970	клоун (noun)
BG8	Мързел (noun)
BG225	бандит (noun)
BG2245	средна класа (adjective)
BG1576	завист (noun)
BG1673	мафията (noun)
BG1668	офицер (noun)
BG578	лош (adjective)
BG1240	Гангстер (noun)
BG175	магаре (noun)
BG785	гей (noun)
BG639	Клевета (noun)
BG716	топките (noun)
BG143	изнасилване (noun)
BG1989	моля (verb)
BG1038	дупе (noun)
BG1299	чукам (verb)
BG1664	разврат (noun)
BG788	педера́ст (noun)
BG401	свиня (noun)
BG463	скука (noun)
BG818	скрап (noun)
BG755	задник (noun)
BG309	лъжа́ (noun)
BG350	банда (noun)
BG764	заек (noun)
BG432	пропуск (noun)
BG32	злоупотреби (noun)
BG1949	обикновен (adjective)
BG1499	Преподавател (noun)
BG355	измамник (noun)
BG240	търговец (noun)
BG988	Престъпност (noun)
BG2150	Грабеж (noun)
BG1536	убиец (noun)
BG1290	Козел (noun)
BG2350	птица (noun)
BG2112	китайски (adjective)
BG874	крокодил (noun)
BG669	племе (noun)
BG1490	учители (noun)
BG2264	умен (adjective)
BG1799	акула (noun)
BG248	съвета (noun)
BG1184	риба (noun)
BG817	боклук (noun)
BG674	племена (noun)
BG912	краставици (noun)
BG2169	мръсни (adjective)
BG482	гове́до (noun)
BG769	ефрейтор (noun)
BG1755	плъхове (noun)
BG1531	нещастен (adjective)
BG549	Суета (noun)
BG169	инат (noun)
BG538	българин (noun)
BG1407	барака (noun)
BG940	Демагогия (noun)
BG873	инвалид (noun)
BG253	адвокати (noun)
BG431	гаф (noun)
BG340	детски (adjective)
BG1031	цъкам (noun)
BG1297	Реакция (noun)
BG1068	т (noun)
BG1854	крадец (noun)
BG843	стремеж (noun)
BG1573	пенис (noun)
BG2410	преда́тел (noun)
BG937	измама (noun)
BG2052	въшки (noun)
BG733	асистент (noun)
BG2268	състояние (adjective)
BG269	с изключение на (noun)
BG262	барон (noun)
BG354	група (noun)
BG488	началник (noun)
BG2258	бедните (adjective)
BG1833	печати (noun)
BG1165	трик (noun)
BG2008	картоф (noun)
BG1139	роднини (noun)
BG37	посредник (noun)
BG946	любовница (noun)
BG90	смес (noun)
BG730	професор (noun)
BG1935	ти́ква (noun)
BG93	боклуци (noun)
BG1465	бедността (noun)
BG555	вол (noun)
BG282	глупав (noun)
BG1969	баща (noun)
BG1328	грабеж (noun)
BG153	тъпак (noun)
BG1670	Ушев (noun)
BG1164	фокус (noun)
BG2375	мангал (noun)
BG320	хаос (noun)
BG1947	нещастен (noun)
BG584	клика (noun)
BG36	брокер (noun)
BG1728	Зло (noun)
BG1602	учителка (noun)
BG1026	зад (noun)
BG1526	тъжно (adjective)
BG1345	има - не (noun)
BG682	коза (noun)
BG1471	Мизерия (noun)
BG537	Българи (noun)
BG2234	чакали (noun)
BG241	министър (noun)
BG52	академици (noun)
BG1300	еба (verb)
BG359	престъпник (noun)
BG338	глупав (adjective)
BG402	тек (noun)
BG469	добитък (noun)
BG1244	Фашизма (noun)
BG1617	кенеф (noun)
BG256	юрист (noun)
BG2135	контролер (noun)
BG1191	дилема (noun)
BG2411	предател (noun)
BG1999	умра (verb)
BG1497	преподавател (noun)
BG235	Варвари (noun)
BG1738	стълб (noun)
BG963	простак (noun)
BG215	глупости (noun)
BG539	български (noun)
BG2078	Пират (noun)
BG927	прекъсване на (noun)
BG503	селяни (noun)
BG1918	убийци (noun)
BG424	предприемач (noun)
BG1114	Морал (noun)
BG673	рода (noun)
BG1521	Лъжа (noun)
BG1203	наркоман (noun)
BG2394	насилие (noun)
BG414	тъпанар (noun)
BG756	секса (noun)
BG684	кози (noun)
BG2374	циганин (noun)
BG779	педал (noun)
BG2351	птици (noun)
BG553	маса (noun)
BG1450	Инвалид (noun)
BG1825	Глупости (noun)
BG2106	черен (adjective)
BG2303	тероризъм (noun)
BG331	измислица (noun)
BG2082	Плагиатство (noun)
BG2306	терористи (noun)
BG403	пес (noun)
BG603	мърша (noun)
BG419	изнудване (noun)
BG1527	тъжен (adjective)
BG1493	Учителка (noun)
BG415	незаконен (noun)
BG1069	много (noun)
BG319	хаоса (noun)
BG1387	Евреи (noun)
BG612	смешници (noun)
BG977	престъпници (noun)
BG484	Крава (noun)
BG121	Животните (noun)
BG1758	плъх (noun)
BG711	обикновените (noun)
BG125	animal (noun)
BG1494	инструктор (noun)
BG2420	Роми (noun)
BG2055	Въшки (noun)
BG151	глупак (noun)
BG1138	коляно (noun)
BG1583	Гняв (noun)
BG2415	Цигани (noun)
BG960	пират (noun)
BG2276	насилие (adjective)
BG124	животни (noun)
BG1908	терорист (noun)
BG845	жажда (noun)
BG352	банди (noun)
BG2235	Чакал (noun)
BG2269	жалък (adjective)
BG239	продавач (noun)
BG134	Животни (noun)
BG1754	Плъхове (noun)
BG1	падение (noun)
BG734	проф (noun)
BG1408	хижа (noun)
BG292	проститутка (noun)
BG1727	злото (noun)
BG530	средна класа (noun)
BG2352	Птици (noun)
BG1774	Реторика (noun)
BG2043	свикнал (adjective)
BG1067	десетки (noun)
BG1535	убийца (noun)
BG1104	аматьори (noun)
BG2395	Насилие (noun)
BG1243	фашизъм (noun)
BG1241	Бандит (noun)
BG465	скучно (noun)
BG784	странен (noun)
BG1508	неморално (noun)
BG552	обем (noun)
BG908	слива (noun)
BG1009	лицемерие (noun)
BG290	курва (noun)
BG551	големина (noun)
BG906	синко (noun)
BG263	Барон (noun)
BG508	бизнесмени (noun)
BG1008	фалшив (noun)
BG1248	фашистите (noun)
BG534	наглост (noun)
BG760	чука (noun)
BG700	хуй (noun)
BG1268	полицай (noun)
BG909	путка (noun)
BG531	егоизъм (noun)
BG754	дяволите (noun)
BG1642	Комари (noun)
BG879	Крокодил (noun)
BG2065	гневен (adjective)
BG2119	фалшив (adjective)
BG1768	оратор (noun)
BG1867	негър (noun)
BG847	глупост (noun)
BG729	стол (noun)
BG2242	безумие (noun)
BG1933	уби́йца (noun)
BG176	мага́ре (noun)
BG1618	лъв (noun)
BG1414	бързат (noun)
BG1021	опашка (noun)
BG919	краставица (noun)
BG1097	трудно (noun)
BG889	хибрид (noun)
BG88	шега (noun)
BG481	говеда (noun)
BG915	Краставици (noun)
BG1972	клоуни (noun)
BG154	мухльо (noun)
BG491	ръководител (noun)
BG911	Краставица (noun)
BG2417	ромски (noun)
BG1091	луд (adjective)
BG1689	Педераст (noun)
BG1324	кражба (noun)
BG773	журналист (noun)
BG148	тиква (noun)
BG618	идиот (noun)
BG929	дам (noun)
BG663	педераст (noun)
BG588	затворник (noun)
BG1480	неук (adjective)
BG2418	Циганин (noun)
BG471	Бик (noun)
BG1666	ченге (noun)
BG1955	лихва (noun)
BG41	научна (noun)
BG800	физиономия (noun)
BG27	Злоупотреба (noun)
BG383	Черен (noun)
BG820	отпадъци (noun)
BG1124	овца (noun)
BG1162	фашистки (noun)
BG1141	семейство (noun)
BG1722	забава (noun)
BG1724	празник (noun)
BG218	топки (noun)
BG1823	овце (noun)
BG1492	Учител (noun)
BG1530	жалко (adjective)
BG398	прасе (noun)
BG255	адвока́т (noun)
BG2273	силен (adjective)
BG1581	яд (noun)
BG1721	жесток (adjective)
BG2096	бебета (noun)
BG1341	Проститутка (noun)
BG317	пич (noun)
BG1922	убийства (noun)
BG1723	купон (noun)
BG1478	невежество (noun)
BG1767	реторика (noun)
BG1082	педагог (noun)
BG2263	интелигентен (adjective)
BG666	клан (noun)
BG1572	пишка (noun)
BG1606	Смес (noun)
BG51	Академик (noun)
BG79	анален секс (noun)
