CA925	problema (noun)
CA1941	farsant (noun)
CA2695	defensa (noun)
CA1079	despropòsit (noun)
CA2764	diferents (adjective)
CA61	estupidesa (noun)
CA462	història (noun)
CA2397	assassinats (noun)
CA2417	cec (noun)
CA1267	fals (noun)
CA1919	mestre (noun)
CA1720	robar (noun)
CA1776	hebreu (noun)
CA2407	mort (noun)
CA1937	impostor (noun)
CA2398	assassinar (noun)
CA1662	extrema dreta (noun)
CA878	administratiu (noun)
CA2005	ira (noun)
CA476	infantil (adjective)
CA1949	falsa (noun)
CA1711	robatori (noun)
CA1887	pobres (noun)
CA1488	fatxa (noun)
CA2409	matant (noun)
CA1864	discapacitat (noun)
CA2782	fals (adjective)
CA210	estúpid (adjective)
CA766	presoner (noun)
CA712	massa (noun)
CA2239	retòrica (noun)
CA479	fanàtic (noun)
CA1785	poble (noun)
CA381	excepte (noun)
CA2667	bèstia (adjective)
CA385	vetat (noun)
CA952	professors (noun)
CA2064	servei (noun)
CA2172	parròquia (noun)
CA1234	delictes (noun)
CA44	acadèmia (noun)
CA2552	pintar (verb)
CA1024	semblant (noun)
CA15	indiferència (noun)
CA2406	matar (noun)
CA1138	compliment (noun)
CA1846	tancat (adjective)
CA48	professora (noun)
CA1087	marta (noun)
CA1746	els que no tenen (noun)
CA1988	artesà (noun)
CA2741	segrestar (noun)
CA419	dona de la vida (noun)
CA2130	cosa nostra (noun)
CA1146	fill (noun)
CA5	mandra (noun)
CA1383	empleat (noun)
CA120	barreja (noun)
CA2650	gallina (noun)
CA2927	bajanades (noun)
CA1418	moral (noun)
CA3046	bruixa (noun)
CA2959	terrorisme (noun)
CA275	miserable (noun)
CA2425	usual (adjective)
CA2222	autoestima (noun)
CA333	barbaritat (noun)
CA1221	sabata (noun)
CA1644	mediador (noun)
CA1343	moltes (noun)
CA2971	tortures (noun)
CA1995	membre (noun)
CA2126	guàrdia (noun)
CA1139	nen (noun)
CA1102	equip (noun)
CA1917	monitor (noun)
CA2514	papa (noun)
CA115	broma (noun)
CA936	nyap (noun)
CA340	defensors (noun)
CA1010	homosexual (noun)
CA230	ruc (noun)
CA329	desitjós (adjective)
CA529	negre (noun)
CA474	imbècil (adjective)
CA1034	xerrar (verb)
CA1378	il·legal (noun)
CA1688	sus (noun)
CA2916	subnormal (adjective)
CA1461	divulgació (noun)
CA2704	fresca (noun)
CA350	ministre (noun)
CA2681	incòmode (adjective)
CA468	mentider (noun)
CA1183	frau (noun)
CA2069	comuna (noun)
CA1717	estafa (noun)
CA1870	desactivar (noun)
CA2658	infantil (noun)
CA1784	gent (noun)
CA649	cap (noun)
CA403	innocent (noun)
CA711	mola (noun)
CA430	carrer (noun)
CA1981	prevaricació (noun)
CA1000	periodista (noun)
CA810	cony (noun)
CA2753	robat (noun)
CA1548	maçó (noun)
CA767	pres (noun)
CA2281	ovelles (noun)
CA2290	pastor (noun)
CA2190	maldat (noun)
CA2751	robatoris (noun)
CA1412	propietat (noun)
CA1443	trist (adjective)
CA1786	masses (noun)
CA1208	innocent (adjective)
CA2767	llepaculs (noun)
CA1348	desenes (noun)
CA198	got (noun)
CA2353	llatí (noun)
CA2379	oques (noun)
CA685	classe mitjana (noun)
CA2	degradació (noun)
CA1049	rebuig (noun)
CA1342	pila (noun)
CA880	cabra (noun)
CA1794	sense llar (noun)
CA1382	treballadora (noun)
CA505	fora de la llei (noun)
CA2394	assassins (noun)
CA2669	cregut (adjective)
CA1743	prostitució (noun)
CA1188	demagogia (noun)
CA2123	policia (noun)
CA2690	covard (adjective)
CA2907	polític (adjective)
CA1417	ètica (noun)
CA751	mal (adjective)
CA2468	rebre (noun)
CA561	malparit (noun)
CA2879	aturat (adjective)
CA1872	inhabilitat (noun)
CA951	càtedra (noun)
CA1839	ideologia (noun)
CA2656	pollastre (noun)
CA2787	feixista (adjective)
CA239	no saben res (noun)
CA404	enganyar (noun)
CA2550	exigent (adjective)
CA2868	medieval (adjective)
CA573	xantatge (noun)
CA453	caos (noun)
CA1922	mestra (noun)
CA2713	animalada (noun)
CA2055	banys (noun)
CA1920	instructor (noun)
CA1873	mobilitat reduïda (noun)
CA215	imbècil (noun)
CA2823	repugnant (adjective)
CA1694	porca (noun)
CA1229	delicte (noun)
CA1595	feixisme (noun)
CA1147	patata (noun)
CA55	acadèmica (noun)
CA241	ignorant (noun)
CA1959	trista (adjective)
CA2427	comú (adjective)
CA33	abús (noun)
CA731	vilà (noun)
CA738	dolenta (noun)
CA840	barra (noun)
CA1999	homosexual (adjective)
CA220	tonto (noun)
CA1029	covard (noun)
CA2426	habitual (adjective)
CA43	institut (noun)
CA1747	pobre (noun)
CA2925	violenta (adjective)
CA1353	quantitat (noun)
CA1268	hipòcrita (noun)
CA859	xinesa (noun)
CA1721	lladres (noun)
CA1164	rebutjar (noun)
CA549	porc (noun)
CA3005	aus (noun)
CA203	tonteria (noun)
CA1537	vol (noun)
CA2196	infame (adjective)
CA811	gossa (noun)
CA117	burla (noun)
CA2277	be (noun)
CA1163	sacrifici (noun)
CA1171	senyora (noun)
CA1134	novell (noun)
CA2184	salvatge (adjective)
CA966	col (noun)
CA42	factor (noun)
CA2836	poli (noun)
CA718	pocavergonya (noun)
CA2694	protagonisme (noun)
CA630	crueltat (noun)
CA1260	fàstic (noun)
CA478	intolerància (noun)
CA200	cervell (noun)
CA1376	delinqüència (noun)
CA970	concurs (noun)
CA331	brutalitat (noun)
CA2345	moro (noun)
CA1155	juntament (noun)
CA1409	afició (noun)
CA870	tribu (noun)
CA2412	tomàquet (noun)
CA1132	munt (noun)
CA2506	patates (noun)
CA1642	tercer (noun)
CA2937	agressió sexual (noun)
CA172	criatura (noun)
CA643	bou (noun)
CA2168	paràsits (noun)
CA2428	normal (adjective)
CA1470	xulo (noun)
CA2356	blancs (noun)
CA1875	incapacitat (noun)
CA2593	acostumat (adjective)
CA1982	malversació (noun)
CA861	circ (noun)
CA1575	ràbia (noun)
CA713	volum (noun)
CA855	gossos (noun)
CA872	parents (noun)
CA2186	cruel (adjective)
CA2766	diferent (adjective)
CA1963	lamentable (adjective)
CA3065	violència (noun)
CA2470	negociar (verb)
CA1653	no per compte (noun)
CA40	corredor (noun)
CA1602	faves (noun)
CA437	bola (noun)
CA999	corresponsal (noun)
CA2000	enveja (noun)
CA689	egoisme (noun)
CA1484	pagesia (noun)
CA2242	agressor (noun)
CA1030	covardia (noun)
CA1393	delinqüents (noun)
CA2671	cec (adjective)
CA552	deixat (noun)
CA972	ramat (noun)
CA935	cagada (noun)
CA2125	oficial (noun)
CA341	advocat (noun)
CA490	colla (noun)
CA148	exèrcit (noun)
CA1172	dama (noun)
CA2853	soc (noun)
CA1356	càrregues (noun)
CA666	pagès (noun)
CA1953	pel·lícula (noun)
CA1828	cantant (noun)
CA1308	darrere (noun)
CA2403	homicidi (noun)
CA1149	figa (noun)
CA881	ibex (noun)
CA1473	amiga (noun)
CA1878	sense sentit (noun)
CA364	advocada (noun)
CA1739	john (noun)
CA1285	posteriorment (noun)
CA857	mala persona (noun)
CA1432	negre (adjective)
CA1009	estrany (noun)
CA171	animal (noun)
CA3077	traïdor (noun)
CA1724	presa (noun)
CA956	professional (noun)
CA486	banda (noun)
CA1381	treballador (noun)
CA1225	crim (noun)
CA420	escòria (noun)
CA31	abusiu (noun)
CA1429	mal (noun)
CA491	cercle (noun)
CA2388	terrorista (noun)
CA851	ca (noun)
CA1349	pilot (noun)
CA1254	sòl (noun)
CA1954	incapaç (adjective)
CA750	dolent (adjective)
CA188	violar (noun)
CA988	clau (noun)
CA2617	violent (adjective)
CA2630	orgullós (adjective)
CA3027	targeta (noun)
CA53	lector (noun)
CA873	familia (noun)
CA1307	plantar (noun)
CA1562	nas (noun)
CA1800	pintor (noun)
CA1781	manada (noun)
CA642	guanyat (noun)
CA1901	senzill (adjective)
CA531	negres (noun)
CA541	industrials (noun)
CA367	gos (noun)
CA414	puta (noun)
CA2500	morir (verb)
CA700	prepotència (noun)
CA1215	saqueig (noun)
CA2217	mosso (noun)
CA251	cul (noun)
CA2813	prendre (verb)
CA191	violació (noun)
CA1352	castell (noun)
CA1346	muntanya (noun)
CA646	vaca (noun)
CA2212	pal (noun)
CA2129	màfia (noun)
CA2775	brut (adjective)
CA366	guau guau (noun)
CA1248	diplomàtic (noun)
CA2626	prepotent (adjective)
CA638	vaques (noun)
CA226	gilipolles (noun)
CA36	maltractament (noun)
CA2881	lent (adjective)
CA461	conte (noun)
CA1744	putes (noun)
CA548	canalla (noun)
CA2660	bebè (noun)
CA550	brut (noun)
CA2941	agressions sexuals (noun)
CA503	criminal (noun)
CA983	fotre (noun)
CA47	acadèmic (noun)
CA2743	assalt (noun)
CA212	estúpid (noun)
CA1204	simple (noun)
CA945	casta (noun)
CA729	dolent (noun)
CA1078	bogeria (noun)
CA2953	terroristes (noun)
CA54	docent (noun)
CA762	tim (noun)
CA2898	patètic (adjective)
CA244	rucs (noun)
CA1656	desastre (noun)
CA2918	lleig (adjective)
CA2877	classe mitjana (adjective)
CA216	curt (noun)
CA1882	misèria (noun)
CA2127	policies (noun)
CA1806	neteja (noun)
CA934	merder (noun)
CA1968	assassí (noun)
CA363	advocacia (noun)
CA1854	rata (adjective)
CA3009	ocells (noun)
CA417	prostituta (noun)
CA2665	bestial (adjective)
CA2448	confondre (verb)
CA1458	família (noun)
CA2053	bany (noun)
CA732	poca-vergonya (noun)
CA500	delinqüent (noun)
CA110	partidari (noun)
CA2975	torturar (verb)
CA1932	noble (noun)
CA1051	escombraries (noun)
CA1529	fake (noun)
CA2395	assassinat (noun)
CA728	xusma (noun)
CA1663	ultradretà (noun)
CA569	per cop (noun)
CA752	baix (adjective)
CA2291	pastors (noun)
CA2435	voltors (noun)
CA2228	rates (noun)
CA1903	ignorància (noun)
CA170	animals (noun)
CA301	pilotes (noun)
CA1239	merda (noun)
CA1489	feixista (noun)
CA634	pesat (noun)
CA1673	il·legal (adjective)
CA860	xinès (noun)
CA2698	adolescent (adjective)
CA1547	falta (noun)
CA1753	gay (noun)
CA1652	inútil (noun)
CA1189	demagògia (noun)
CA2668	xulo (adjective)
CA1895	inacció (noun)
CA3007	au (noun)
CA2810	robar (verb)
CA322	salvatge (noun)
CA2788	fatxa (adjective)
CA1271	hipocresia (noun)
CA1072	engany (noun)
CA782	casino (noun)
CA2786	artificial (adjective)
CA2189	festa (noun)
CA362	advocats (noun)
CA480	colles (noun)
CA614	desgraciat (noun)
CA1336	porter (noun)
CA1960	desgraciat (adjective)
CA1597	feixistes (noun)
CA844	gentussa (noun)
CA2973	torturat (noun)
CA1884	pobresa (noun)
CA1925	escriptor (noun)
CA1733	enviat (noun)
CA1837	nena (noun)
CA2124	agent (noun)
CA358	jurista (noun)
CA535	industrial (noun)
CA1904	ignorant (adjective)
CA958	prof (noun)
CA268	rata (noun)
CA3002	ocell (noun)
CA208	curt (adjective)
CA140	fanatisme (noun)
CA2831	pobre (adjective)
CA1513	pudor (noun)
CA2739	segrest (noun)
CA304	ou (noun)
CA1517	peix (noun)
CA1634	ficat (noun)
CA537	executiu (noun)
CA1966	fart (noun)
CA917	polla (noun)
CA488	penya (noun)
CA2832	miserable (adjective)
CA211	idiota (noun)
CA2180	lloro (noun)
CA135	palla (noun)
CA647	bous (noun)
CA950	professorat (noun)
CA2465	vividor (noun)
CA2072	manta (noun)
CA2185	brutal (adjective)
CA2914	llest (adjective)
CA1490	un ràpid (noun)
CA1373	pedagog (noun)
CA206	idiota (adjective)
CA1696	porcs (noun)
CA2659	bebé (noun)
CA701	orgull (noun)
CA2678	xinès (adjective)
CA885	Íbex (noun)
CA332	barbàrie (noun)
CA29	insult (noun)
CA489	grup (noun)
CA1184	farsa (noun)
CA181	fauna (noun)
CA2970	tortura (noun)
CA351	defensor (noun)
CA192	violacions (noun)
CA207	tonto (adjective)
CA2908	pobres (adjective)
CA3061	cafè (adjective)
CA49	facultat (noun)
CA2932	raper (noun)
CA1407	aficionats (noun)
CA2025	lladre (noun)
CA396	encantat (noun)
CA1772	jueus (noun)
CA2133	màfies (noun)
CA2666	animal (adjective)
CA22	abusos (noun)
CA179	bèstia (noun)
CA1047	brutícia (noun)
CA2696	juvenil (adjective)
CA2855	mediocre (noun)
CA214	imbecil (noun)
CA441	mentida (noun)
CA2974	torturar (noun)
CA2573	comentari (noun)
CA442	falsedat (noun)
CA2966	calvari (noun)
CA1668	fotre (verb)
CA444	galà (noun)
CA1140	noi (noun)
CA2728	economista (noun)
CA1075	anhel (noun)
CA2886	tort (adjective)
CA1284	lateral (noun)
CA3067	violent (noun)
CA454	confusió (noun)
CA1477	estimada (noun)
CA1483	pagesos (noun)
CA1898	incompetent (noun)
CA1298	posterior (noun)
CA673	empresari (noun)
CA1058	espionatge (noun)
CA51	professor (noun)
CA1244	criminal (adjective)
CA1391	boig (adjective)
