HU1985	vak (adjective)
HU295	hop (noun)
HU2248	cigányok (noun)
HU1247	vagina (noun)
HU1319	ravasz (adjective)
HU1353	azonos nemű (noun)
HU1160	gazda (noun)
HU204	teste (noun)
HU1111	erkölcs (noun)
HU518	csőcselék (noun)
HU1061	portás (noun)
HU1088	pedagógiai (noun)
HU202	tök (noun)
HU703	eros (noun)
HU1296	megbasz (verb)
HU385	zsarolás (noun)
HU934	képmutató (noun)
HU837	gyerek (noun)
HU835	kölyök (noun)
HU1976	kisbaba (noun)
HU882	egyszerű ember (noun)
HU1802	fehér (noun)
HU97	analfabéta (adjective)
HU1815	liba (noun)
HU45	akadémikus (noun)
HU607	kutyák (noun)
HU1315	disznó (noun)
HU197	pete (noun)
HU1297	dug (verb)
HU1740	bárány (noun)
HU1082	törpe (noun)
HU1973	csibe (noun)
HU1343	john (noun)
HU2113	szegény (adjective)
HU1333	lógós (noun)
HU903	bűnözők (noun)
HU1899	burgonya (noun)
HU507	ez és ez (noun)
HU1719	mikroba (noun)
HU1463	popsi (noun)
HU1071	dohány (noun)
HU423	pénztáros (noun)
HU1801	spanyol (noun)
HU746	boci (noun)
HU894	bűncselekmények (noun)
HU2235	erőszakos (noun)
HU316	hülye (adjective)
HU1358	homoszexualitás (noun)
HU1873	féreg (noun)
HU768	lehallgatás (noun)
HU582	vádaskodás (noun)
HU157	seggfej (noun)
HU1900	fal (verb)
HU1198	falka (noun)
HU888	kalóz (noun)
HU1892	krumpli (noun)
HU1665	papagáj (noun)
HU1169	pontos (noun)
HU353	fekete (noun)
HU1434	szegények (noun)
HU214	paraszt (noun)
HU834	fiú (noun)
HU377	köcsög (noun)
HU531	gyomor (noun)
HU1639	durva (noun)
HU72	szolga (noun)
HU1056	evő (noun)
HU580	rágalmazó (noun)
HU1428	képtelenség (noun)
HU1816	lúd (noun)
HU122	lény (noun)
HU1978	újszülött (noun)
HU2119	buta (adjective)
HU159	semmit sem (noun)
HU1389	háztartás (noun)
HU467	üzletember (noun)
HU1702	rabló (noun)
HU604	kutya (noun)
HU1531	dühös (noun)
HU1590	mozzarella (noun)
HU528	rossz (adjective)
HU1686	patkány (noun)
HU900	bűnözés (noun)
HU2165	kín (noun)
HU662	átlagember (noun)
HU1903	könyvmoly (noun)
HU712	nyuszi (noun)
HU709	kibaszott (noun)
HU874	szerető (noun)
HU2181	crossdresser (noun)
HU1447	alkalmatlan (noun)
HU484	egoista (noun)
HU201	mogyoró (noun)
HU1994	gyáva (adjective)
HU1975	baba (noun)
HU36	egyetemek (noun)
HU1167	fasiszta (noun)
HU50	hülyeség (noun)
HU1627	dagi (noun)
HU2039	szennyezett (adjective)
HU698	káposzta (noun)
HU2254	romák (noun)
HU1475	hölgyek (noun)
HU1947	mérges (adjective)
HU1952	masztizás (noun)
HU1195	bolha (noun)
HU660	baj (noun)
HU911	bűnös (adjective)
HU2096	középkori (adjective)
HU615	kínai (noun)
HU1129	ban, minden (noun)
HU1825	terrorista (noun)
HU1013	mögött (noun)
HU1530	harag (noun)
HU384	törvénytelen (noun)
HU244	barokk (noun)
HU2023	rablás (noun)
HU1068	sok (noun)
HU1063	bűnös (noun)
HU919	grunge (noun)
HU1777	nigger (noun)
HU63	makacs (adjective)
HU861	asszonyom (noun)
HU732	meleg (noun)
HU1987	kínai (adjective)
HU723	újságíró (noun)
HU1870	kukac (noun)
HU1322	grand theft (noun)
HU1356	homoszexuálisok (noun)
HU1390	házimunka (noun)
HU38	tudósok (noun)
HU121	állatok (noun)
HU2198	csatorna (noun)
HU2238	dolgozó (noun)
HU1607	rendőrök (noun)
HU1422	fogyatékos (noun)
HU17	visszaélés (noun)
HU320	banda (noun)
HU1743	pásztor (noun)
HU730	homoszexuális (noun)
HU1076	tételek (noun)
HU2038	piszkos (adjective)
HU271	kurva (noun)
HU1672	borsó (noun)
HU1602	elkövető (noun)
HU843	punci (noun)
HU928	kellemetlen (noun)
HU1984	fekete (adjective)
HU1223	düh (noun)
HU41	kar (noun)
HU198	testis (noun)
HU1606	zsaru (noun)
HU2095	zsidó (adjective)
HU1504	korrupció (noun)
HU1949	bősz (adjective)
HU1516	pénisz (noun)
HU1738	juh (noun)
HU155	faszfej (noun)
HU924	talaj (noun)
HU653	pöcs (noun)
HU2082	csótány (noun)
HU791	bagoly (noun)
HU2063	sznob (noun)
HU734	melegek (noun)
HU514	hobo (noun)
HU1430	értelmetlen (noun)
HU501	tömeg (noun)
HU915	fritz (noun)
HU1127	szabados (noun)
HU745	fecsegő (noun)
HU1313	malac (noun)
HU537	fogoly (noun)
HU2003	könyvelő (noun)
HU435	tinó (noun)
HU1860	vandál (noun)
HU491	bolgár (noun)
HU2057	béka (noun)
HU629	törzs (noun)
HU1742	juhász (noun)
HU1707	szennyvíz (noun)
HU92	analfabéta (noun)
HU43	elméleti (adjective)
HU86	agresszív (adjective)
HU759	szemetet (noun)
HU1956	sunyi (adjective)
HU1948	dühös (adjective)
HU598	scammer (noun)
HU1955	ügyes (adjective)
HU1928	humanus (noun)
HU144	bolond (noun)
HU213	barbár (noun)
HU42	egyetemi (noun)
HU1301	baszik (verb)
HU79	keverék (noun)
HU1165	farmer (noun)
HU1232	gengszter (noun)
HU622	rokon (noun)
HU1769	nárcisztikus (noun)
HU689	professzor (noun)
HU434	ökör (noun)
HU1150	szeretője (noun)
HU163	szamár (noun)
HU1429	nonszensz (noun)
HU1487	szomorú (adjective)
HU481	önző (noun)
HU654	farok (noun)
HU1374	tömegek (noun)
HU819	hibrid (noun)
HU1277	pussy (noun)
HU926	undor (noun)
HU1575	mongol (noun)
HU1982	csecsemő (noun)
HU1749	nehezék (noun)
HU1035	fenék (noun)
HU1124	pofa (noun)
HU1307	swallow (noun)
HU1677	kismalac (noun)
HU329	zenekar (noun)
HU290	hazugság (noun)
HU863	dame (noun)
HU1180	bűz (noun)
HU345	árulkodó (noun)
HU2192	madár (noun)
HU2125	ronda (adjective)
HU1242	bab (noun)
HU206	baromság (noun)
HU869	megtévesztés (noun)
HU860	hölgy (noun)
HU885	elvetemült (noun)
HU771	poloska (noun)
HU428	gonoszság (noun)
HU1846	kínzó (noun)
HU1834	gyilkosságok (noun)
HU1464	segg (noun)
HU1327	tolvaj (noun)
HU1400	hiéna (noun)
HU1482	hazug (noun)
HU713	nyúl (noun)
HU2251	cigány (noun)
HU568	idióta (noun)
HU275	salak (noun)
HU923	mocsok (noun)
HU839	tesó (noun)
HU2040	koszos (adjective)
HU1186	hal (noun)
HU2116	véreb (noun)
HU1278	szúnyog (noun)
HU233	jogász (noun)
HU1610	tiszt (noun)
HU1273	néző (noun)
HU328	csapat (noun)
HU234	Ügyvéd (noun)
HU1344	szegény (noun)
HU609	eb (noun)
HU1325	tolvajok (noun)
HU1839	slayer (noun)
HU637	kecske (noun)
HU1560	wc (noun)
HU1835	megölte (noun)
HU659	problémát (noun)
HU1280	közvetítő (noun)
HU1491	gyilkos (noun)
HU37	tudományos (noun)
HU1066	tonna (noun)
HU917	jerry (noun)
HU460	parasztok (noun)
HU430	unalom (noun)
HU1510	raktáros (noun)
HU1612	maffia (noun)
HU158	tudatlan (noun)
HU1143	fanatikus (noun)
HU1942	tetves (adjective)
HU747	gyáva (noun)
HU1367	zsidók (noun)
HU690	prof (noun)
HU830	újonc (noun)
HU1735	birka- (noun)
HU376	csaló (noun)
HU1095	őrült (adjective)
HU2112	politikai (adjective)
HU1669	párt (noun)
HU552	dög (noun)
HU1936	tetű (noun)
HU1168	gyors, egy (noun)
HU251	kivéve (noun)
HU1460	oktató (noun)
HU1488	szerencsétlen (adjective)
HU1912	tombol (verb)
HU1202	rabja (noun)
HU1605	buja (noun)
HU1598	majom (noun)
HU141	butaság (noun)
HU1092	munkavállaló (noun)
HU1144	beszerzése (noun)
HU725	buzi (noun)
HU1974	tyúk (noun)
HU1917	pletyka (noun)
HU1829	gyilkosság (noun)
HU1234	fasizmus (noun)
HU2101	buta (noun)
HU146	balek (noun)
HU317	bigott (noun)
HU2195	madarak (noun)
HU1366	zsidó (noun)
HU2217	cigó (noun)
HU1489	boldogtalan (adjective)
HU1072	rengeteg (noun)
HU1754	csigák (noun)
HU1299	szexel (verb)
HU838	srác (noun)
HU1102	erekció (noun)
HU842	pina (noun)
HU563	váltott (noun)
HU1678	hentes (noun)
HU1564	lav (noun)
HU219	miniszter (noun)
HU1824	brent (noun)
HU1579	szúnyogok (noun)
HU239	kutyus (noun)
HU2209	sárga lapot (noun)
HU2120	idióta (adjective)
HU1438	rászoruló (noun)
HU1894	murphy (noun)
HU1206	aljas (noun)
HU1799	latino (noun)
HU2244	áruló (noun)
HU292	haver (noun)
HU2259	zulu (noun)
HU1979	babák (noun)
HU932	hamis (noun)
HU1381	hajléktalan (noun)
HU2186	fúria (noun)
HU1294	kúr (verb)
HU1019	zsemle (noun)
HU961	utólag (noun)
HU704	csaj (noun)
HU16	sértő (noun)
HU2167	kínzás (noun)
HU368	sár (noun)
HU442	marha (noun)
HU469	vállalkozó (noun)
HU147	ostoba (noun)
HU2127	erőszakos (adjective)
HU71	lusta (noun)
HU19	bántalmazás (noun)
HU1524	dákó (noun)
HU2093	sakál (noun)
HU1709	félvér (noun)
HU203	golyó (noun)
HU119	Állatok (noun)
HU1977	Újszülött (noun)
HU806	krokodil (noun)
HU1716	cápa (noun)
HU979	ugyan (noun)
HU2118	okos (adjective)
HU1911	követelő (adjective)
HU727	furcsa (noun)
HU1715	cápák (noun)
HU1110	morál (noun)
HU1680	büszkeség (noun)
HU1592	maradi (noun)
HU35	tényező (noun)
HU778	csalás (noun)
HU2232	erőszak (noun)
HU2062	lop (verb)
HU1869	bohóc (noun)
HU1328	lopás (noun)
HU1854	szerencsétlen (noun)
HU1474	lady (noun)
HU1563	mosdó (noun)
HU1609	rendőr (noun)
HU1112	morális (noun)
HU236	ügyész (noun)
HU1866	pojáca (noun)
HU243	báró (noun)
HU895	bűncselekmény (noun)
HU574	szuka (noun)
HU1522	penis (noun)
HU2102	ostoba (adjective)
HU536	klikk (noun)
HU1750	csiga (noun)
HU205	here (noun)
HU1104	dilettáns (noun)
HU1526	irigység (noun)
HU804	nyomorék (noun)
HU1249	büdös (adjective)
HU1089	pedagógus (noun)
HU1069	eredmények (noun)
HU1880	kéregető (noun)
HU276	ribanc (noun)
HU1107	amatőr (noun)
HU77	maradék (noun)
HU1316	sertés (noun)
HU1670	gonosz (adjective)
HU2155	terrorizmus (noun)
HU930	képmutatás (noun)
HU1067	tucat (noun)
HU263	hülye (noun)
HU534	belső kör (noun)
HU2123	ízléstelen (adjective)
HU439	tehén (noun)
HU1584	moly (noun)
HU935	álszent (noun)
HU1457	tanított (noun)
HU2108	szánalmas (adjective)
HU452	barna (noun)
HU963	hátsó (noun)
HU902	bűntett (noun)
HU2124	csúnya (adjective)
HU2152	terroristák (noun)
HU521	gonosz (noun)
HU870	demagóg (noun)
HU1431	szegénység (noun)
HU1567	lazább (noun)
HU361	mogul (noun)
HU367	szlovén (noun)
HU567	kretén (noun)
HU782	vamp (noun)
HU312	hazudós (noun)
HU74	bohóckodás (noun)
HU1986	barna (adjective)
HU570	ribi (noun)
HU336	bűnügyi (noun)
HU1989	hamis (adjective)
HU464	üzletemberek (noun)
HU530	ugat (noun)
HU2	ugat (verb)
HU658	probléma (noun)
HU652	fasz (noun)
HU218	kereskedő (noun)
HU1722	mikróba (noun)
HU1527	féltékenység (noun)
HU1855	szokásos (adjective)
HU564	bunkó (noun)
HU1833	gyilkosok (noun)
HU1800	ázsiai (noun)
HU1868	bohócok (noun)
HU624	klán (noun)
HU553	kaszinó (noun)
HU330	gazember (noun)
HU1688	patkányok (noun)
HU1458	tanárok (noun)
HU781	ostobaság (noun)
HU1796	néger (adjective)
HU2037	szennyes (adjective)
HU494	gőg (noun)
HU348	bajt (noun)
HU1521	öcsi (noun)
HU431	unalmas (noun)
HU1246	hüvelyi (noun)
HU657	kakas (noun)
HU1059	aries (noun)
HU113	állat (noun)
HU440	bika (noun)
HU2203	hoax (noun)
HU1736	birka (noun)
HU844	uborka (noun)
HU468	polgári (noun)
HU1971	csirke (noun)
HU2237	alkalmazott (noun)
HU1997	sánta (adjective)
HU1611	cosa nostra (noun)
HU438	Ökör (noun)
HU1518	kuki (noun)
HU372	cur (noun)
HU1739	juh- (noun)
HU339	betyár (noun)
HU1357	vidámság (noun)
HU1887	zabál (verb)
HU1909	igényes (adjective)
HU400	baki (noun)
HU868	megtévesztő (noun)
HU505	semmirekellő (noun)
HU1684	zsaroló (noun)
HU1148	nyomorult (noun)
HU513	hobó (noun)
HU881	hiszékeny (adjective)
HU1620	maffiózó (noun)
HU1507	vissza beszélni (noun)
HU168	ass (noun)
HU1462	tanár (noun)
HU1139	rokonok (noun)
HU1525	homoszexuális (adjective)
HU600	szélhámos (noun)
HU1838	emberölés (noun)
HU728	puff (noun)
HU300	káosz (noun)
HU337	bűnöző (noun)
HU1136	család (noun)
HU1778	nigga (noun)
HU1780	néger (noun)
HU2058	bufo (noun)
HU674	elégedettség (noun)
HU2098	bolondság (noun)
HU757	lom (noun)
HU177	vágy (noun)
HU123	állatvilág (noun)
HU1094	szakértő (noun)
HU231	ügyvéd (noun)
HU2206	átverés (noun)
HU258	puha (noun)
