IT1152	gay (noun)
IT3900	andarsene (verb)
IT2018	assassino (noun)
IT789	boy (noun)
IT365	cretino (noun)
IT347	idiota (noun)
IT3560	pastore (noun)
IT456	casino (noun)
IT2841	pittore (noun)
IT873	becco (noun)
IT4594	rosso (noun)
IT27	indifferenza (noun)
IT4247	differente (adjective)
IT3483	memoria (noun)
IT1480	circo (noun)
IT1112	leader (noun)
IT247	massa (noun)
IT4180	rosso (adjective)
IT2398	fascista (noun)
IT1893	figa (noun)
IT1355	azienda (noun)
IT2391	campo a (noun)
IT3847	arrivato (noun)
IT3901	crepare (verb)
IT335	ignorante (adjective)
IT364	buffone (noun)
IT2050	criminalità (noun)
IT115	duro (adjective)
IT1654	strano (noun)
IT4486	sufficiente (adjective)
IT1576	professore (noun)
IT3035	maestra (noun)
IT3781	clown (noun)
IT258	animali (noun)
IT2188	tonnellate (noun)
IT1110	capo (noun)
IT1546	maschio (noun)
IT2498	pagliaccio (noun)
IT2672	sbattere (verb)
IT1310	ignobile (adjective)
IT4485	sostenuto (adjective)
IT1601	concorso (noun)
IT1744	monnezza (noun)
IT4663	romani (noun)
IT1963	amante (noun)
IT772	favola (noun)
IT551	ministro (noun)
IT2953	disabili (noun)
IT3734	uccidere (noun)
IT2752	roba (noun)
IT161	scherzo (noun)
IT4350	ideologico (adjective)
IT1108	principale (noun)
IT2019	delitto (noun)
IT3782	errore (noun)
IT3154	asta (noun)
IT3459	stanga (noun)
IT2083	orrore (noun)
IT209	spazzatura (noun)
IT1584	prof (noun)
IT3886	la rovina (noun)
IT1602	piena (noun)
IT3685	pochissimo (noun)
IT1215	famiglia (noun)
IT3638	di colore (noun)
IT751	mercato (noun)
IT4196	stronzata (noun)
IT151	fedele (noun)
IT245	esercito (noun)
IT3274	cesso (noun)
IT3719	assassini (noun)
IT1878	adolescente (noun)
IT2173	decine (noun)
IT573	difesa (noun)
IT1222	manzo (noun)
IT3689	minuto (noun)
IT2822	popolazione (noun)
IT788	bugiardo (noun)
IT1737	rifiuti (noun)
IT2736	ladri (noun)
IT3646	nero (adjective)
IT2606	ufficiale (noun)
IT3079	incapacità (noun)
IT3331	colpevole (noun)
IT3151	mazza (noun)
IT1880	figliuolo (noun)
IT4497	terrorismo (noun)
IT1662	ragazzo (noun)
IT2699	suini (noun)
IT4288	fascista (adjective)
IT4119	piccolo (noun)
IT1585	docente (noun)
IT2972	ano (noun)
IT1900	patata (noun)
IT842	delinquente (noun)
IT110	amore di sé (noun)
IT2735	ladro (noun)
IT4437	imbecille (adjective)
IT3414	economia (noun)
IT282	stupro (noun)
IT1701	fogna (noun)
IT4326	fuori di sé (adjective)
IT4395	idiota (adjective)
IT2407	trucco (noun)
IT3649	uomo (noun)
IT2350	familiari (noun)
IT1046	incapace (noun)
IT670	troia (noun)
IT2646	inutile (noun)
IT508	barbarie (noun)
IT956	martino (noun)
IT153	complice (noun)
IT4068	pirla (noun)
IT2898	cantanti (noun)
IT2988	miseria (noun)
IT4152	comune (adjective)
IT1313	stomaco (noun)
IT1772	ritrovato (noun)
IT382	ignorante (noun)
IT3355	cosa nostra (noun)
IT2027	crimine (noun)
IT1259	branco (noun)
IT3108	triste (adjective)
IT89	idiozia (noun)
IT60	operatore (noun)
IT4662	rom (noun)
IT1212	mole (noun)
IT4404	corrente (adjective)
IT4105	banale (adjective)
IT2566	fascisti (noun)
IT4586	ndrangheta (noun)
IT199	processo (noun)
IT2856	mestiere (noun)
IT3904	mancare (verb)
IT2701	maiali (noun)
IT1706	vile (noun)
IT4117	bambina (noun)
IT1494	commesso (noun)
IT3429	compagnia (noun)
IT1623	scopare (noun)
IT4385	scarso (adjective)
IT917	stronza (noun)
IT2560	mafioso (noun)
IT764	carne (noun)
IT3643	nera (noun)
IT943	ricatto (noun)
IT3460	palo (noun)
IT1578	professori (noun)
IT1917	cogliere (noun)
IT3243	mix (noun)
IT3259	bagno (noun)
IT4122	bimbo (noun)
IT4033	abituato (adjective)
IT3034	insegnanti (noun)
IT3173	gay (adjective)
IT2276	vile (adjective)
IT4118	bambino (noun)
IT3008	bisogno (noun)
IT2299	sofferto (adjective)
IT609	intellettuale (noun)
IT3549	pecore (noun)
IT2143	cuccia (noun)
IT1315	bocca (noun)
IT46	abusi (noun)
IT1472	cani (noun)
IT1039	cialtrone (noun)
IT2973	senza senso (noun)
IT2487	ipocrita (adjective)
IT2072	abominio (noun)
IT2857	governo (noun)
IT1609	affluenza (noun)
IT2142	canile (noun)
IT1771	arte (noun)
IT4149	cinesi (adjective)
IT2999	necessità (noun)
IT1495	capra (noun)
IT834	giro (noun)
IT1916	rifiutare (noun)
IT1703	vaccina (noun)
IT3639	neri (noun)
IT3482	ratto (noun)
IT4645	forza (noun)
IT4515	angoscia (noun)
IT1062	ignoranza (noun)
IT3666	bianco (noun)
IT4120	bebè (noun)
IT4402	qualsiasi (adjective)
IT275	creatura (noun)
IT2051	politico (noun)
IT3701	oca (noun)
IT3348	poliziotto (noun)
IT767	storia (noun)
IT3895	finire (verb)
IT3347	guardia (noun)
IT755	rivoluzione (noun)
IT3950	saputo (noun)
IT2139	volpe (noun)
IT64	accademia (noun)
IT867	criminale (noun)
IT713	gagà (noun)
IT3254	misto (noun)
IT2765	john (noun)
IT3716	omicidio (noun)
IT578	cane (noun)
IT1776	desiderio (noun)
IT3501	retorica (noun)
IT1659	diverso (noun)
IT2652	reazione (noun)
IT3693	un po' (noun)
IT228	calore (noun)
IT1105	direttore (noun)
IT357	imbecille (noun)
IT4421	poveri (adjective)
IT235	impegno (noun)
IT2177	sacco (noun)
IT2805	ebrei (noun)
IT2740	rubare (noun)
IT2093	ipocrita (noun)
IT3003	povertà (noun)
IT2680	illegale (adjective)
IT3857	pregare (verb)
IT1889	mona (noun)
IT2486	finto (adjective)
IT4679	romaní (noun)
IT1379	it (noun)
IT4261	lercio (adjective)
IT2678	illegittimo (adjective)
IT2356	razza (noun)
IT1540	cazzo (noun)
IT2162	pecora (noun)
IT1651	manutenzione (noun)
IT3430	festa (noun)
IT1591	cavolo (noun)
IT3916	patate (noun)
IT2132	dietro (noun)
IT2473	situazione (noun)
IT3199	confusione (noun)
IT3416	terribile (adjective)
IT2907	ragazza (noun)
IT4230	rapina (noun)
IT4111	polli (noun)
IT1681	aspetto (noun)
IT2462	falsi (noun)
IT393	culo (noun)
IT72	universitario (noun)
IT2088	finto (noun)
IT2092	ipocrisia (noun)
IT2240	fallo (noun)
IT4597	giallo (noun)
IT953	sweet (noun)
IT2272	male (noun)
IT1365	casta (noun)
IT4129	bebé (noun)
IT4498	terroristi (noun)
IT1478	cinese (noun)
IT2193	senza casa (noun)
IT1784	follia (noun)
IT3761	solito (adjective)
IT1211	volume (noun)
IT1456	feccia (noun)
IT3098	incapace (adjective)
IT865	penale (noun)
IT3467	orgoglio (noun)
IT676	puttana (noun)
IT4185	bastardo (adjective)
IT3710	terrorista (noun)
IT1896	fica (noun)
IT702	falsità (noun)
IT475	coglione (noun)
IT1551	problema (noun)
IT2198	nano (noun)
IT1101	toro (noun)
IT4127	baby (noun)
IT4636	scatenato (adjective)
IT2565	fascismo (noun)
IT826	clan (noun)
IT745	caos (noun)
IT2989	poveri (noun)
IT2724	furto (noun)
IT1530	banalità (noun)
IT4285	bugiardo (adjective)
IT2538	ira (noun)
IT2044	criminale (adjective)
IT69	facoltà (noun)
IT835	circolo (noun)
IT2181	mondo (noun)
IT4569	uccelli (noun)
IT362	stupido (noun)
IT4452	violenta (adjective)
IT707	balla (noun)
IT1093	vacca (noun)
IT3176	gelosia (noun)
IT3811	rovinare (verb)
IT2534	rabbia (noun)
IT2489	falso (adjective)
IT3893	morire (verb)
IT2485	gregge (noun)
IT1077	stanchezza (noun)
IT3413	risparmio (noun)
IT837	gruppo (noun)
IT1139	imprenditore (noun)
IT2849	gola (noun)
IT3311	mozzarella (noun)
IT4138	cieco (adjective)
IT474	palle (noun)
IT2823	masse (noun)
IT3402	comune (noun)
IT327	stupidità (noun)
IT815	gang (noun)
IT902	dirigente (noun)
IT572	procuratore (noun)
IT3360	mafiosa (noun)
IT203	aggressivo (adjective)
IT909	industriale (noun)
IT3780	sbaglio (noun)
IT2041	penale (adjective)
IT933	merda (noun)
IT2222	assunto (noun)
IT51	rappresentante (noun)
IT2354	gente (noun)
IT387	non so nulla (noun)
IT3607	stellina (noun)
IT1142	affari (noun)
IT4319	prendere (verb)
IT3076	voglia (noun)
IT3357	mafiosi (noun)
IT2739	ruba (noun)
IT1826	gobbo (noun)
IT2824	popolo (noun)
IT2220	dipendente (noun)
IT4673	romanó (noun)
IT1304	cattivo (adjective)
IT2031	reato (noun)
IT2894	iene (noun)
IT4265	sporco (adjective)
IT476	balle (noun)
IT2231	folle (adjective)
IT2968	disabilità (noun)
IT448	ritardo (noun)
IT2912	ideologia (noun)
IT1149	borghese (adjective)
IT1074	noia (noun)
IT941	illegittimo (noun)
IT4115	bimba (noun)
IT4005	gossip (noun)
IT2791	omosessuali (noun)
IT3157	pene (noun)
IT2278	indegno (adjective)
IT143	poltrone (noun)
IT3354	mafia (noun)
IT900	nero (noun)
IT2626	curioso (noun)
IT4077	intelligente (adjective)
IT4517	dolore (noun)
IT3303	zanzare (noun)
IT478	palla (noun)
IT656	squillo (noun)
IT1486	parenti (noun)
IT2082	odio (noun)
IT704	menzogna (noun)
IT3424	crudele (adjective)
IT3905	andare (verb)
IT2171	carichi (noun)
IT2695	maiale (noun)
IT1307	basso (adjective)
IT248	folla (noun)
IT2668	scopare (verb)
IT4420	politici (adjective)
IT544	avvocati (noun)
IT1506	capre (noun)
IT581	barone (noun)
IT545	legale (noun)
IT2214	insegnante (noun)
IT2282	indecente (adjective)
IT3440	infame (adjective)
IT497	banchiere (noun)
IT4342	povero (adjective)
IT48	illecito (noun)
IT3665	latino (noun)
IT3744	cieco (noun)
IT264	bestia (noun)
IT4109	gallina (noun)
IT2415	veloce un (noun)
IT4644	aggressione (noun)
IT920	stronzo (noun)
IT646	vittima (noun)
IT3441	corrotto (adjective)
IT576	cagnolino (noun)
IT3253	composto (noun)
IT3871	rubare (verb)
IT473	teste (noun)
IT3757	normale (adjective)
IT738	tempesta (noun)
IT1109	boss (noun)
IT3752	brutto (noun)
IT2065	sporco (noun)
IT1678	gazzetta (noun)
IT2467	fake (noun)
IT3272	vaso (noun)
IT3733	mattanza (noun)
IT1926	dame (noun)
IT4403	qualunque (adjective)
IT3432	cattiveria (noun)
IT290	violento (noun)
IT1898	passera (noun)
IT1359	escluso (noun)
IT2256	morale (noun)
IT824	banda (noun)
IT1925	signora (noun)
IT710	bugia (noun)
IT1972	corte (noun)
IT4057	violento (adjective)
IT1	fango (noun)
IT1734	rifiuto (noun)
IT4228	sequestro (noun)
IT296	intelligenza (noun)
IT2431	puzza (noun)
IT1952	inganno (noun)
IT3175	invidia (noun)
IT4177	cretino (adjective)
IT4004	rumore (noun)
IT1855	cucciolo (noun)
IT1356	casinò (noun)
IT1991	semplice (noun)
IT2472	dilemma (noun)
IT4123	bambini (noun)
IT1075	pizza (noun)
IT612	pesce (noun)
IT1646	giornalista (noun)
IT4484	orgoglioso (adjective)
IT2539	accanimento (noun)
IT1069	noioso (noun)
IT2690	porco (noun)
IT1302	brutto (adjective)
IT3116	prestito (noun)
IT3073	pseudo (noun)
IT4438	scemo (adjective)
IT50	agente (noun)
IT2176	marea (noun)
IT796	stupido (adjective)
IT1322	associazione (noun)
IT307	zucca (noun)
IT353	scemo (noun)
IT4419	politico (adjective)
IT1852	tortura (noun)
IT1033	lupo (noun)
IT2029	crimini (noun)
IT3159	membro (noun)
IT2169	portiere (noun)
IT479	coglioni (noun)
IT1303	male (adjective)
IT1118	bruno (noun)
IT2927	tirato (adjective)
IT4591	bufala (noun)
IT1275	boia (noun)
IT918	bastardo (noun)
IT1277	cattivo (noun)
IT3155	verga (noun)
IT2251	etica (noun)
IT3075	pseudo- (noun)
IT205	immondizia (noun)
IT4366	mediocre (noun)
IT2314	arrogante (adjective)
IT4067	sega (noun)
IT42	abuso (noun)
IT1538	minchia (noun)
IT2113	sedere (noun)
IT628	pollo (noun)
IT4246	diverso (adjective)
IT3425	feroce (adjective)
IT908	re (noun)
IT2535	furia (noun)
IT3918	patetico (adjective)
IT268	animale (noun)
IT706	falso (noun)
IT1192	arroganza (noun)
IT1904	gnocca (noun)
IT157	battuta (noun)
IT3346	poliziotti (noun)
IT342	deficiente (noun)
IT4219	escluso (adjective)
IT1842	incrocio (noun)
IT2199	nana (noun)
IT4325	pazzo (adjective)
IT2774	povero (noun)
IT3400	parassiti (noun)
IT2028	criminali (noun)
IT4482	fiero (adjective)
IT2432	sito (noun)
IT1535	arnese (noun)
IT3382	maleducazione (noun)
IT4641	violenza (noun)
IT3037	maestro (noun)
IT4148	cinese (adjective)
IT1143	borghese (noun)
IT4076	accorto (adjective)
IT549	avvocato (noun)
IT911	industriali (noun)
IT4680	romanì (noun)
IT3642	moro (noun)
IT2365	fissato (noun)
