KO1137	동성 (noun)
KO186	상인 (noun)
KO437	자만 (noun)
KO1055	간수 (noun)
KO1089	씹 (verb)
KO864	복부 (noun)
KO533	scammer (noun)
KO1813	가난한 (adjective)
KO1460	하수 (noun)
KO616	양배추 (noun)
KO1276	곤충류 (noun)
KO1175	안일 (noun)
KO1625	감자 (noun)
KO961	열광 (noun)
KO277	그룹 (noun)
KO915	종업원 (noun)
KO1720	유괴 (noun)
KO1263	불행한 (adjective)
KO707	사기 (noun)
KO1383	경찰 (noun)
KO350	부 - 부 (noun)
KO586	문제를 (noun)
KO845	위선자 (noun)
KO500	약한 (noun)
KO1201	장애 (noun)
KO473	동인 (noun)
KO1774	거머리 (noun)
KO870	뒤로 (noun)
KO188	장관 (noun)
KO1868	의상 (noun)
KO256	바보 (adjective)
KO1901	비겁한 (noun)
KO554	부족 (noun)
KO550	중국인 (noun)
KO1222	무능한 (noun)
KO299	장난 (noun)
KO1679	병아리 (noun)
KO1162	서민들 (noun)
KO1057	교도관 (noun)
KO850	측면 (noun)
KO792	첩 (noun)
KO1109	절도 (noun)
KO1205	항문 (noun)
KO1667	베낀 (noun)
KO968	조달 (noun)
KO815	범인 (noun)
KO1258	구라 (noun)
KO191	상담원 -에서 - 법 (noun)
KO1622	머피 (noun)
KO1239	웃긴 (noun)
KO896	보트 (noun)
KO1660	화가 (adjective)
KO1430	페니 - 곤란 (noun)
KO1235	강사 (noun)
KO856	뒤에 (noun)
KO446	오만 (noun)
KO1068	탐정 (noun)
KO1124	성매매 (noun)
KO1051	질 (noun)
KO312	거물 (noun)
KO645	토끼 (noun)
KO47	고집이 (adjective)
KO1304	분노 (noun)
KO521	무고죄 (noun)
KO1578	괴롭히는 사람 (noun)
KO582	좆 (noun)
KO1690	검다 (adjective)
KO983	빠른 원 (noun)
KO1422	기생 (noun)
KO903	니들이 (noun)
KO1210	헛소리 (noun)
KO1293	신경 (noun)
KO1436	완두콩 (noun)
KO556	혈연 (noun)
KO338	협박 (noun)
KO949	지출 - 모든 (noun)
KO285	무법자 (noun)
KO1687	갓난아기 (noun)
KO85	장어 (noun)
KO1703	잘못된 (adjective)
KO728	진상 (noun)
KO1182	하이에나 (noun)
KO1324	공중화장실 (noun)
KO1197	시각장애인 (noun)
KO910	교육자 (noun)
KO1096	돼지 (noun)
KO1432	악 (noun)
KO1776	순경 (noun)
KO605	교수를 (noun)
KO1500	황인 (noun)
KO1264	행복 (adjective)
KO384	심심함 (noun)
KO931	도덕적 (noun)
KO26	이론적 (adjective)
KO332	새끼 (noun)
KO1769	현명한 사람 (noun)
KO1712	회계사 (noun)
KO1836	성범죄자 (noun)
KO1171	집 그림 (noun)
KO20	학술 (noun)
KO1819	없습니다 (adjective)
KO954	친척 (noun)
KO1537	흑인 (adjective)
KO1921	친일파 (noun)
KO1661	자위 (noun)
KO1225	무지 (noun)
KO1168	노숙자 (noun)
KO1382	경찰은 (noun)
KO563	사무직 (noun)
KO667	동성애자 (noun)
KO1697	중국과 (adjective)
KO580	자지 (noun)
KO1449	선전 (noun)
KO1889	드랙퀸 (noun)
KO236	복마전 (noun)
KO1141	동성애 (noun)
KO221	창녀 (noun)
KO156	숙소 (noun)
KO1064	코 - 파커 (noun)
KO912	교사 (noun)
KO1009	충돌 (noun)
KO1026	무용 (noun)
KO306	왕 (noun)
KO263	갱스터 (noun)
KO115	등신 (noun)
KO977	농부 (noun)
KO1681	닭고기 (noun)
KO1282	장인 (noun)
KO1103	악한 (noun)
KO880	먹는 사람 (noun)
KO1816	어리석은 (adjective)
KO1066	방관자 (noun)
KO169	고환 (noun)
KO793	애인 (noun)
KO992	김 (noun)
KO345	막 거리 (noun)
KO540	대형견 (noun)
KO765	얘야 (noun)
KO1672	해적선 (noun)
KO1250	의사 (noun)
KO837	오점 (noun)
KO1069	스파이 (noun)
KO709	갈망 (noun)
KO1359	나방 (noun)
KO1694	갈색 (adjective)
KO1639	거지 (noun)
KO145	욕심 (noun)
KO1839	테로 (noun)
KO1384	경찰관 (noun)
KO25	학생 (noun)
KO1070	모기 (noun)
KO129	엉덩이 (noun)
KO631	fuck (noun)
KO969	포주 (noun)
KO1030	강도 (noun)
KO836	그런지 (noun)
KO355	자랑하는 (noun)
KO407	농민 (noun)
KO1709	개판 (noun)
KO1148	유대 (noun)
KO1567	살해 (noun)
KO417	사업가 (noun)
KO80	문맹 (adjective)
KO898	점수 (noun)
KO1686	신생아 (noun)
KO1371	못난 (noun)
KO1555	테러 (noun)
KO447	거만 (noun)
KO1174	가정 (noun)
KO105	강간 (noun)
KO479	죄인 (noun)
KO1545	걸레 (noun)
KO1510	꼬마 (noun)
KO460	빌런 (noun)
KO757	신인 (noun)
KO1415	기생충 (noun)
KO1655	이목 (noun)
KO114	멍청이 (noun)
KO1878	새 (noun)
KO892	많음 (noun)
KO768	오이 (noun)
KO780	여성 의원 (noun)
KO331	망할 놈의 (noun)
KO116	바보 (noun)
KO1	영락 (noun)
KO1923	매국노 (noun)
KO1110	좀도둑 (noun)
KO303	검정 (noun)
KO1108	도둑 (noun)
KO1006	광대 (noun)
KO1334	변기 (noun)
KO1214	가난한 (noun)
KO886	보던 (noun)
KO779	담 (noun)
KO455	아무개 (noun)
KO318	진흙 (noun)
KO1853	고통 (noun)
KO1645	질질 짜는 (noun)
KO1172	열성 (noun)
KO890	힙 (noun)
KO669	게이 (noun)
KO1290	질량 (noun)
KO893	잔뜩 (noun)
KO22	학계 (noun)
KO854	만두 (noun)
KO1684	영아 (noun)
KO518	악담 (noun)
KO1561	진드기 (noun)
KO18	학자 (noun)
KO1378	경관 (noun)
KO626	섹스를 (noun)
KO1079	쓸모없는 (noun)
KO381	권태 (noun)
KO1799	중산층 (adjective)
KO1897	유리 (noun)
KO1722	강탈 (noun)
KO1429	앵무 (noun)
KO920	발기 (noun)
KO90	짐승 (noun)
KO1820	폭력 (adjective)
KO382	지루함 (noun)
KO301	검정색 (noun)
KO1602	말함 (noun)
KO621	군중 (noun)
KO209	뒤집어 쓴 (noun)
KO630	빠큐 (noun)
KO918	중범죄 (noun)
KO1811	정치 (adjective)
KO1298	남근 (noun)
KO576	혼란 (noun)
KO1241	작가 (noun)
KO1630	알 - 모든 (noun)
KO257	편협 (noun)
KO506	지체 (noun)
KO469	나쁜 (adjective)
KO182	야만 (noun)
KO1541	아시아 (noun)
KO411	비지니스 (noun)
KO68	호전 (adjective)
KO869	꼬리 (noun)
KO1484	양치기 (noun)
KO866	궁둥이 (noun)
KO501	겁쟁이 (noun)
KO1682	통닭 (noun)
KO691	스크랩 (noun)
KO1280	다시 이야기 (noun)
KO763	젊은이 (noun)
KO106	성폭행 (noun)
KO46	자기 사랑 (noun)
KO705	교활 (noun)
KO1599	마부 (noun)
KO975	머슴 (noun)
KO795	설 (noun)
KO873	뒤쪽 (noun)
KO1736	다른 (adjective)
KO1215	저소득층 (noun)
KO581	고추 (noun)
KO127	당나귀 (noun)
KO930	수신 (noun)
KO1107	도둑질 (noun)
KO1291	남경 (noun)
KO515	명예 훼손 (noun)
KO1277	오직 (noun)
KO1629	잘난 (noun)
KO1275	곤충 (noun)
KO1713	컨트롤러 (noun)
KO268	깡패 (noun)
KO1596	독사 (noun)
KO827	완전 (noun)
KO1302	성 (noun)
KO914	불법 행위 (noun)
KO1267	살인자 (noun)
KO1702	강력한 (adjective)
KO1351	몽골 (noun)
KO1213	빈곤 (noun)
KO1132	- 없는데 (noun)
KO1550	거위 (noun)
KO803	기형아 (noun)
KO1745	더럽다 (adjective)
KO1160	무리 (noun)
KO1699	뚜 (noun)
KO1363	모짜렐라 (noun)
KO213	불쌍 (noun)
KO1543	백색 (noun)
KO1568	살인 (noun)
KO1525	흑인 (noun)
KO339	약탈 (noun)
KO606	의자를 (noun)
KO270	조폭 (noun)
KO1393	마피아 (noun)
KO451	먹을 (noun)
KO194	개 (noun)
KO1778	바퀴벌레 (noun)
KO718	올빼미 (noun)
KO9	복사 (noun)
KO189	변호사 (noun)
KO50	남색 (noun)
KO1691	검은 (adjective)
KO1447	교만 (noun)
KO330	사기꾼 (noun)
KO888	수십 (noun)
KO1154	이스라엘 (noun)
KO419	부르주아 (noun)
KO1010	파울 (noun)
KO212	찜질 (noun)
KO732	악어 (noun)
KO680	지형 (noun)
KO385	심심 (noun)
KO19	학문 (noun)
KO1454	미사여구 (noun)
KO520	무고 (noun)
KO1113	도난 (noun)
KO271	갱 (noun)
KO1224	모름 (noun)
KO499	파리 아 (noun)
KO742	크로커다일 (noun)
KO507	bitch (noun)
KO1638	소문 (noun)
KO287	악인 (noun)
KO764	아가야 (noun)
KO1854	고문 (noun)
KO1278	그랬어요 (noun)
KO966	광신도 (noun)
KO1786	자칼 (noun)
KO1658	화난 (adjective)
KO462	악녀 (noun)
KO984	뜯어 (noun)
KO1063	음모 (noun)
KO685	비겁 (noun)
KO1257	뻥 (noun)
KO134	탐욕 (noun)
KO1216	가난 (noun)
KO311	대군 (noun)
KO1636	가십 (noun)
KO12	병 - 사용 (noun)
KO496	카지노 (noun)
KO1479	양 (noun)
KO1755	두꺼비 (noun)
KO878	음식 (noun)
KO472	위 (noun)
KO625	에로스 (noun)
KO759	신병 (noun)
KO433	중산층 (noun)
KO173	산적 (noun)
KO1300	질투 (noun)
KO300	검은색 (noun)
KO1271	돈 대출 (noun)
KO1101	교활 (adjective)
KO1689	유아 (noun)
KO655	퀴어 (noun)
KO1370	너드 (noun)
KO231	거짓말 (noun)
KO567	염소 (noun)
KO56	나태 (noun)
KO254	보이 (noun)
KO107	예민 (noun)
KO622	성욕 (noun)
KO1892	여장남자 (noun)
KO185	이방인 (noun)
KO443	자랑 (noun)
KO672	트윙크 (noun)
KO1818	추악한 (adjective)
KO1375	음란 (noun)
KO196	개를 좋아하는 (noun)
KO195	강아지 (noun)
KO841	불쾌한 (noun)
KO587	평범한 사람 (noun)
KO755	하이브리드 (noun)
KO1751	개구리 (noun)
KO286	범죄자 (noun)
KO608	선생 (noun)
KO170	불 (noun)
KO1831	성범죄 (noun)
KO125	아무것도 몰라 (noun)
KO453	건달 (noun)
KO1086	반동 (noun)
KO773	따다 (noun)
KO1701	옹호 (noun)
KO1888	음모론 (noun)
KO497	도박장 (noun)
KO341	장의사 (noun)
KO904	노동자 (noun)
KO1163	대중 (noun)
KO640	뻐큐 (noun)
KO1203	무능 (noun)
KO1427	앵무새 (noun)
KO177	비적 (noun)
KO279	악당 (noun)
KO13	학대 (noun)
KO781	아주머니 (noun)
KO1773	흡혈귀 (noun)
KO1492	달팽이 (noun)
KO842	혐오 (noun)
KO16	브로커 (noun)
KO1882	날조 (noun)
KO60	농담 (noun)
KO1904	폭력 (noun)
KO861	기저 (noun)
KO724	부엉이 (noun)
KO1409	무례 (noun)
KO1329	화장실 (noun)
KO348	큰 실수 (noun)
KO695	도청 (noun)
KO1665	교활한 (adjective)
KO1744	더러운 (adjective)
KO1598	독수리 (noun)
KO1777	부하 (noun)
KO238	혼돈 (noun)
KO1178	방 (noun)
KO1024	우울 (noun)
KO1279	비웃는 (noun)
KO913	지식인 (noun)
KO509	암캐 (noun)
KO1202	장애인 (noun)
KO796	시신 (noun)
KO390	소 (noun)
KO758	날짜 (noun)
KO811	범죄 (noun)
KO662	lgbt (noun)
KO589	평민 (noun)
KO899	t (noun)
KO766	씹 (noun)
KO851	발바닥 (noun)
KO1245	숙녀 (noun)
KO1803	일반 (adjective)
KO421	물소 (noun)
KO1556	테러리스트 (noun)
KO1719	납치 (noun)
KO223	스포츠 여성 (noun)
KO1211	무의미한 (noun)
KO1797	중세 (adjective)
KO1165	민중 (noun)
KO649	특파원 (noun)
KO1696	중국 (adjective)
KO396	갈색 (noun)
KO777	컷 - 업 (noun)
KO516	비방 (noun)
KO1746	웅 (noun)
KO1812	정치적 (adjective)
KO934	도덕 (noun)
KO278	단체 (noun)
KO1670	표절 (noun)
KO121	꼴통 (noun)
KO916	애호가 (noun)
KO1676	해적 (noun)
KO1877	조류 (noun)
KO75	문맹 (noun)
KO1833	희롱 (noun)
KO94	동물 (noun)
KO321	똥개 (noun)
KO635	좆같은 (noun)
KO198	남작 (noun)
KO1566	살인죄 (noun)
KO364	순응 (noun)
KO927	아마추어 (noun)
KO232	거짓 (noun)
KO578	이어 (noun)
KO692	쓰레기 (noun)
KO1685	아기 (noun)
KO1467	상어 (noun)
KO894	많은 (noun)
KO1406	파파라치 (noun)
KO1646	불평 (noun)
KO477	죄수 (noun)
KO1319	여교사 (noun)
KO657	낸스 (noun)
KO1885	낚시 (noun)
KO514	명예훼손 (noun)
KO1003	벼룩 (noun)
KO857	치 (noun)
KO767	보지 (noun)
KO847	위선 (noun)
KO1283	가게 주인 (noun)
KO1733	체포 자 (noun)
KO493	썩은 고기 (noun)
KO386	무료함 (noun)
KO1161	서민 (noun)
KO174	도적 (noun)
KO1173	과식 (noun)
KO110	머리 (noun)
KO172	불알 (noun)
KO333	병신 (noun)
KO748	잡종 (noun)
KO204	따돌림 (noun)
KO452	못된 (noun)
KO921	하드에 (noun)
KO634	씨발 (noun)
KO1649	이 (noun)
KO865	꼭대기 (noun)
KO1431	흉악 (noun)
KO1585	일반적인 (adjective)
KO1601	벌레 (noun)
KO1870	남장 (noun)
KO1927	롬 (noun)
KO99	중상 (noun)
KO817	위법 (noun)
KO1514	자기애 (noun)
KO530	쥐 (noun)
KO972	정부 (noun)
KO24	교수 (noun)
KO1677	닭 (noun)
