TH1010	ถึงแก่กรรม (verb)
TH916	ผู้ก่อการร้าย (noun)
TH990	ดับ (verb)
TH1052	เนื้อไก่ (noun)
TH908	ผิวดำ (adjective)
TH282	กลุ่ม (noun)
TH695	ผู้สอน (noun)
TH145	เรื่องไม่จริง (noun)
TH849	เสา (noun)
TH131	ไก่ (noun)
TH356	มหาชน (noun)
TH837	ปาร์ตี้ (noun)
TH1035	พูดลับหลัง (verb)
TH281	หมู่ (noun)
TH138	นางโลม (noun)
TH435	เล่ห์เหลี่ยม (noun)
TH279	ปาก (noun)
TH1126	เคราะห์ร้าย (adjective)
TH619	หมู (noun)
TH994	สิ้นชีพิตักษัย (verb)
TH765	ความโกรธ (noun)
TH181	คนร้าย (noun)
TH600	มีเพศสัมพันธ์ (verb)
TH93	โลภ (adjective)
TH369	ตุ๊ด (noun)
TH389	พูดไร้สาระ (verb)
TH148	กุ (noun)
TH376	คนชนบท (noun)
TH119	คนซื่อ (noun)
TH311	หมา (noun)
TH779	ตีนแมว (noun)
TH61	กบาล (noun)
TH546	ชาวนา (noun)
TH981	ยัด (verb)
TH682	เด็กซน (noun)
TH19	ดื้อดึง (adjective)
TH1109	สกปรก (adjective)
TH1079	ปลอม (adjective)
TH1012	มันฝรั่ง (noun)
TH585	คนน่าเบื่อ (noun)
TH273	รถเก่า (noun)
TH341	นกเขา (noun)
TH238	สีน้ำตาล (noun)
TH1030	เหี่ยว (verb)
TH538	สนม (noun)
TH304	การกล่าวหา (noun)
TH466	ทูต (noun)
TH364	กระต่าย (noun)
TH920	การฆ่าคน (noun)
TH763	อารมณ์โกรธ (noun)
TH679	ใจแคบ (adjective)
TH296	ชนชั้น (noun)
TH474	ตูด (noun)
TH830	ปาปารัซซี่ (noun)
TH654	คนทั่วไป (noun)
TH329	ความยุ่งเหยิง (noun)
TH405	ดาวยั่ว (noun)
TH394	หมอเถื่อน (noun)
TH409	ลูกเรือ (noun)
TH54	การใส่ร้าย (noun)
TH678	คับแคบ (adjective)
TH407	นกฮูก (noun)
TH912	ลูกนา (noun)
TH783	ห้องน้ำสาธารณะ (noun)
TH347	สามัญชน (noun)
TH613	เย็ด (verb)
TH686	ความบกพร่อง (noun)
TH758	แต๋ว (adjective)
TH1139	โหรงเหรง (adjective)
TH962	เงอะงะ (verb)
TH543	ชาวไร่ (noun)
TH953	ดอน (noun)
TH687	รูตูด (noun)
TH351	ศ. (noun)
TH412	จระเข้ (noun)
TH894	ขโมย (noun)
TH68	ตุ่น (noun)
TH1121	เชิด (verb)
TH370	เกย์ (noun)
TH25	ความขี้เกียจ (noun)
TH430	หอย (noun)
TH665	กระต๊อบ (noun)
TH352	ศาสตราจารย์ (noun)
TH1129	แมลงสาบ (noun)
TH244	ผู้ประกอบการ (noun)
TH781	ส้วม (noun)
TH1042	เหา (noun)
TH593	ผู้ชม (noun)
TH670	ไฮยีน่า (noun)
TH519	ไร้รสนิยม (adjective)
TH601	มีเซ็กส์ (verb)
TH834	parasite (noun)
TH850	คนยากไร้ (noun)
TH153	ความสับสน (noun)
TH1163	น่าเกลียด (adjective)
TH448	บ้านเล็ก (noun)
TH1023	เทศน์ (verb)
TH432	แตงกวา (noun)
TH1099	การปล้น (noun)
TH721	เรื่องโกหก (noun)
TH650	ประชาชน (noun)
TH1072	สีน้ำตาล (adjective)
TH362	การเอา (noun)
TH595	ริ้น (noun)
TH1022	เทศนา (verb)
TH612	ล่อ (verb)
TH681	ของเลียนแบบ (noun)
TH1176	การก่อการร้าย (noun)
TH224	คนซุ่มซ่าม (noun)
TH339	กระดอ (noun)
TH745	กลุ่มก้อน (noun)
TH956	หนอน (noun)
TH824	โค (noun)
TH869	ปลาฉลาม (noun)
TH518	คนบาป (noun)
TH10	เอเยนต์ (noun)
TH840	งานเลี้ยงฉลอง (noun)
TH319	คนจีน (noun)
TH1008	สิ้นชีพ (verb)
TH1084	ขี้กลัว (adjective)
TH358	ความใคร่ (noun)
TH13	นักวิชาการ (noun)
TH919	การฆาตกรรม (noun)
TH1162	อัปลักษณ์ (adjective)
TH74	ลา (noun)
TH200	หมาวัด (noun)
TH864	ของเสีย (noun)
TH690	ความยากจน (noun)
TH154	ความโกลาหล (noun)
TH798	มอด (noun)
TH331	จู๋ (noun)
TH1097	การลักพาตัว (noun)
TH814	ตำรวจ (noun)
TH120	คนเชื่อคนง่าย (noun)
TH1015	มูมมาม (verb)
TH102	ตะกละ (adjective)
TH838	งานเลี้ยง (noun)
TH260	ความใหญ่ (noun)
TH639	รักร่วมเพศ (noun)
TH1054	กุ๊กไก่ (noun)
TH69	ไอ้ควาย (noun)
TH483	ยาม (noun)
TH1065	ทารก (noun)
TH99	คนเถื่อน (noun)
TH1125	ปลิง (noun)
TH754	สมรู้ร่วมคิด (verb)
TH349	ความพึงพอใจ (noun)
TH985	ฉ้อโกง (verb)
TH11	นายหน้า (noun)
TH997	สิ้นลม (verb)
TH210	ทางตัน (noun)
TH1118	ลัก (verb)
TH854	ฟักทอง (noun)
TH532	ความคลั่งไคล้ (noun)
TH1088	เหมือนเด็ก (adjective)
TH514	มือสมัครเล่น (noun)
TH271	คนชั่ว (noun)
TH1001	เสียชีวิต (verb)
TH1147	ทางการเมือง (adjective)
TH212	ผู้ชายเจ้าชู้ (noun)
TH527	วงศ์ตระกูล (noun)
TH720	ขี้เกียจ (adjective)
TH918	ฆาตกรรม (noun)
TH607	ร่วมรัก (verb)
TH501	ลูกจ้าง (noun)
TH429	หี (noun)
TH676	คตินิยม (noun)
TH15	อาจารย์มหาลัย (noun)
TH576	สมาชิกแก๊ง (noun)
TH728	โชคร้าย (adjective)
TH766	ความแค้น (noun)
TH979	ล้อเลียน (verb)
TH631	ของโจร (noun)
TH106	นักกฎหมาย (noun)
TH669	หมาใน (noun)
TH1150	จน (adjective)
TH334	น้องชาย (noun)
TH1189	อีเวร (noun)
TH477	บ้านหมา (noun)
TH1184	วิหค (noun)
TH467	ชาวเยอรมัน (noun)
TH37	ความปรารถนา (noun)
TH28	สมุน (noun)
TH1019	แต่งหน้าทาปาก (verb)
TH939	คนตกอับ (noun)
TH599	นอน (verb)
TH605	ร่วมสุข (verb)
TH579	ช่องคลอด (noun)
TH1101	การจี้ (noun)
TH1020	แต่งหน้า (verb)
TH233	วัวควาย (noun)
TH65	ตัวตลก (noun)
TH76	กระทิง (noun)
TH917	เห็บ (noun)
TH857	หนู (noun)
TH1083	ขลาด (adjective)
TH136	อีตัว (noun)
TH666	กระท่อม (noun)
TH811	ผู้พิทักษ์สันติราษฎร์ (noun)
TH1120	ขโมย (verb)
TH63	ไร้สมอง (adjective)
TH270	ม็อบ (noun)
TH297	คนอ่อนแอ (noun)
TH1195	ขี้ขลาด (noun)
TH313	สุนัข (noun)
TH29	ผู้ติดตาม (noun)
TH638	คนยากจน (noun)
TH1005	สิ้นใจ (verb)
TH664	งานบ้าน (noun)
TH251	ชนชั้นกลาง (noun)
TH1122	ลักขโมย (verb)
TH346	ปัญหา (noun)
TH675	สาวน้อย (noun)
TH870	จุลินทรีย์ (noun)
TH87	ซ่อง (noun)
TH904	คนดำ (noun)
TH377	คนทรยศ (noun)
TH545	เกษตรกร (noun)
TH366	ส.อ. (noun)
TH684	ความพิการ (noun)
TH517	ศีลธรรม (noun)
TH284	ผู้ถูกคุมขัง (noun)
TH1025	ปัดแก้ม (verb)
TH375	ใบหน้า (noun)
TH492	กุลี (noun)
TH651	คนธรรมดาทั่วไป (noun)
TH625	เจ้าเล่ห์ (adjective)
TH78	ความโลภ (noun)
TH51	สัตว์ป่า (noun)
TH464	อาชญากรรม (noun)
TH998	จบชีวิต (verb)
TH738	เจ้าของร้าน (noun)
TH740	สีเลือดหมู (noun)
TH621	สุกร (noun)
TH179	อาชญากร (noun)
TH889	ดาวรุ่ง (noun)
TH598	หลับนอน (verb)
TH237	น้ำตาล (noun)
TH103	ทนายความ (noun)
TH635	การขายบริการทางเพศ (noun)
TH787	ห้องน้ำ (noun)
TH777	ครูผู้หญิง (noun)
TH1149	ยากไร้ (adjective)
TH1141	ชั้นกลาง (adjective)
TH421	ฝูง (noun)
TH868	ฉลาม (noun)
TH354	กะหล่ำปลี (noun)
TH123	เหยื่อ (noun)
TH1016	กินมูมมาม (verb)
TH111	เจ้าตูบ (noun)
TH842	ความชั่วร้าย (noun)
TH440	สุภาพสตรี (noun)
TH101	ผู้ค้า (noun)
TH927	การฆ่า (noun)
TH996	เสด็จสวรรคต (verb)
TH52	สิ่งมีชีวิต (noun)
TH717	คนโกหก (noun)
TH978	แหย่ (verb)
TH963	ทำลวกๆ (verb)
TH844	ถั่ว (noun)
TH768	ขี้โมโห (adjective)
TH522	หยาบคาย (adjective)
TH616	ผิดกฎหมาย (adjective)
TH987	ตัวปัญหา (noun)
TH1058	ลูกอ่อน (noun)
TH729	ที่ไม่มีความสุข (adjective)
TH881	ปริศนา (noun)
TH556	มัจฉา (noun)
TH737	การแซว (noun)
TH1187	นก (noun)
TH1153	ฉลาด (adjective)
TH164	โง่ (adjective)
TH314	คนข่มขืน (noun)
TH332	ก๊อก (noun)
TH995	ตาย (verb)
TH235	บอส (noun)
TH831	ปรสิต (noun)
TH259	ความจุ (noun)
TH1174	การล่วงละเมิดทางเพศ (noun)
TH1066	หัวสูง (adjective)
TH732	นักฆ่า (noun)
TH807	คนทำผิด (noun)
TH277	เลว (adjective)
TH698	ครู (noun)
TH192	สีดำ (noun)
TH1196	การใช้ความรุนแรง (noun)
TH66	คนโง่ (noun)
TH427	หม้อ (noun)
TH1076	จีน (adjective)
TH530	ตระกูล (noun)
TH1070	ตาบอด (adjective)
TH58	ข่มขืน (noun)
TH923	คนฆ่า (noun)
TH610	ร่วมเพศ (verb)
TH770	ความรก (noun)
TH615	ปี้ (verb)
TH583	ผู้คุม (noun)
TH393	นักต้มตุ๋น (noun)
TH843	ชั่ว (adjective)
TH443	เยาะเย้ย (verb)
TH1085	ขี้ขลาด (adjective)
TH761	ความอิจฉา (noun)
TH335	ควย (noun)
TH696	อาจารย์ (noun)
TH723	เรื่องเท็จ (noun)
TH248	ควาย (noun)
TH139	โสเภณี (noun)
TH472	ก้น (noun)
TH294	คาสิโน (noun)
TH450	อีหนู (noun)
TH1131	คนไม่เก่ง (noun)
TH199	อันธพาล (noun)
TH851	ความภูมิใจ (noun)
TH342	เด็กเปรต (noun)
TH20	รั้น (adjective)
TH1124	คนรู้มาก (noun)
TH692	ความไม่รู้ (noun)
TH499	นักการศึกษา (noun)
TH411	คนพิการ (noun)
TH688	ประตูหลัง (noun)
TH614	รวม เพศ (verb)
TH523	หน้า (noun)
TH336	ไข่ (noun)
TH1192	ที่ซื้อได้ (adjective)
TH802	งวง (noun)
TH816	มาเฟีย (noun)
TH656	คนไร้บ้าน (noun)
TH1179	การทรมาน (noun)
TH880	ทาก (noun)
TH1128	เหม็น (adjective)
TH174	คนโกง (noun)
TH674	น้องนาง (noun)
TH109	น้องหมา (noun)
TH183	ผู้ร้าย (noun)
TH1105	แตกต่าง (adjective)
TH424	เด็กชาย (noun)
TH502	พนง. (noun)
TH957	สับสน (verb)
TH460	คนไม่เต็ม (noun)
TH875	แกะ (noun)
TH322	เผ่า (noun)
TH980	ขอร้อง (verb)
TH513	หอยทาก (noun)
TH544	กสิกร (noun)
TH757	รักร่วมเพศ (adjective)
TH173	คนพาล (noun)
TH683	ลูกลิง (noun)
TH503	พนักงาน (noun)
TH504	ผู้คลั่งไคล้ (noun)
TH1108	เปื้อน (adjective)
TH363	แอส (noun)
TH1046	โกรธ (adjective)
TH554	กลิ่นเหม็น (noun)
TH540	กิ๊ก (noun)
TH100	ความโหดเหี้ยม (noun)
TH403	ความโง่เขลา (noun)
TH743	แม่สื่อ (noun)
TH47	ปลาไหล (noun)
TH561	ฝูงนก (noun)
TH825	วัว (noun)
TH697	ครูบาอาจารย์ (noun)
TH122	ผู้เคราะห์ร้าย (noun)
TH1178	ความทุกข์ทรมาน (noun)
TH410	ผู้พิการ (noun)
TH767	ความโกรธแค้น (noun)
TH2	เห่า (verb)
TH841	ความชั่ว (noun)
TH21	ดื้อ (adjective)
TH835	นกแก้ว (noun)
TH1002	จากไป (verb)
TH36	เรื่องไร้สาระ (noun)
TH420	ลูกผสม (noun)
TH739	ผู้จัดการร้าน (noun)
TH1200	คนขายชาติ (noun)
TH1067	สีดำ (adjective)
TH449	อนุภรรยา (noun)
TH1011	เข้าโลง (verb)
TH333	ดอ (noun)
TH749	อวัยวะเพศชาย (noun)
TH289	ฉลามขาว (noun)
TH493	คนแคระ (noun)
TH1186	ปักษา (noun)
TH736	แมง (noun)
TH555	ปลา (noun)
TH146	โกหก (noun)
TH1106	ต่าง (adjective)
TH753	สมคบคิด (verb)
TH381	แม่วัว (noun)
TH516	จริยธรรม (noun)
TH942	แอบฟัง (verb)
TH1144	โง่ๆ (adjective)
TH114	บารอน (noun)
TH810	เจ้าหน้าที่ตำรวจ (noun)
TH107	ทนาย (noun)
TH852	ความภาคภูมิใจ (noun)
TH972	ต่อรอง (verb)
TH439	คุณผู้หญิง (noun)
TH1060	เด็กทารก (noun)
TH812	ตร. (noun)
TH1057	เด็กน้อย (noun)
TH312	หมาบ้าน (noun)
TH521	เป็นทุกข์ (adjective)
TH1134	หมาจิ้งจอก (noun)
TH1115	กบ (noun)
TH379	ตัวเมีย (noun)
TH759	ลักเพศ (adjective)
TH1013	น้ำเน่า (adjective)
TH59	การข่มขืน (noun)
TH221	คนผิด (noun)
TH278	แย่ (adjective)
TH197	คนเลว (noun)
TH1161	ขี้เหร่ (adjective)
TH8	การทารุณกรรม (noun)
TH611	เอา (verb)
TH395	ขยะ (noun)
TH533	แมงดา (noun)
TH401	แมลง (noun)
TH970	กาฝาก (noun)
TH126	กะหรี่ (noun)
TH306	การพูดให้ร้าย (noun)
TH232	ความเบื่อหน่าย (noun)
TH804	เนิร์ด (noun)
TH247	คนชั้นกลาง (noun)
TH974	ขอทาน (noun)
TH1047	บ้าคลั่ง (adjective)
TH1033	นินทา (verb)
TH170	กลุ่มคน (noun)
TH914	ห่าน (noun)
TH428	จิ๋ม (noun)
TH326	แพะ (noun)
TH1180	ทรมาน (verb)
TH1018	ยกย่อง (verb)
TH1166	ปกขาว (adjective)
TH733	ฆาตกร (noun)
TH928	มะเขือเทศ (noun)
TH636	คนจน (noun)
TH1081	ผศ. (noun)
TH785	สุขา (noun)
TH378	สาย (noun)
TH473	บั้นท้าย (noun)
TH930	ผู้พิการทางสายตา (noun)
TH936	คนโชคร้าย (noun)
TH1003	ล้ม (verb)
TH735	เจ้าหนี้ (noun)
TH30	ลูกสมุน (noun)
TH800	มอสซาเรลล่าชีส (noun)
TH653	ประชาชี (noun)
TH892	หัวขโมย (noun)
TH796	ยุง (noun)
TH231	คนขี้เบื่อ (noun)
TH716	ไม่สุภาพ (adjective)
TH950	แร้ง (noun)
TH367	สิบโท (noun)
TH1062	เด็กอ่อน (noun)
TH627	การขโมย (noun)
TH528	วงศ์วาน (noun)
TH1117	คางคก (noun)
TH969	เพื่อนกิน (noun)
TH803	เด็กเนิร์ด (noun)
TH1068	ดำ (adjective)
TH965	ทำให้เสียหาย (verb)
TH977	หยอกล้อ (verb)
TH234	นาย (noun)
TH847	ลูกหมู (noun)
TH747	กอง (noun)
TH629	โจรกรรม (noun)
TH1071	น้ำตาล (adjective)
TH1024	ปะ (verb)
TH447	เมียน้อย (noun)
TH1148	ยากจน (adjective)
TH929	คนตาบอด (noun)
TH559	หมัด (noun)
TH845	ถั่วลันเตา (noun)
TH423	เด็กหนุ่ม (noun)
TH1040	คนขี้แย (noun)
TH436	คนชอบแกล้ง (noun)
TH789	โถส้วม (noun)
TH387	ความขลาด (noun)
TH1032	ที่ไม่ปกติ (adjective)
TH171	วง (noun)
TH469	ความไม่ชอบ (noun)
TH1133	จิ้งจอก (noun)
TH168	แก๊งค์ (noun)
TH832	ความหยาบคาย (noun)
TH316	ชาวจีน (noun)
TH1164	ไม่สามารถ (adjective)
TH1078	ปลอมแปลง (adjective)
TH207	สัปเหร่อ (noun)
TH295	วรรณะ (noun)
TH50	สัตว์ (noun)
TH32	ผู้ช่วย (noun)
TH1034	ซุบซิบ (verb)
TH694	อ. (noun)
TH34	ก้าวร้าว (adjective)
TH1049	การชักว่าว (noun)
TH269	คนขี้เกียจ (noun)
TH1004	สวรรคต (verb)
TH285	นักโทษ (noun)
TH623	หมูตอน (noun)
TH1074	ยาจก (noun)
TH62	กระโหลก (noun)
