UK1383	Шлюха (noun)
UK265	Барон (noun)
UK1784	Пацюки (noun)
UK958	Демагогія (noun)
UK376	шахрайство (noun)
UK594	казино (noun)
UK902	гібрид (noun)
UK2068	рукою (noun)
UK1074	ззаду (noun)
UK788	лесбі́йка (noun)
UK372	хуліганство (noun)
UK2362	малодушний (noun)
UK1593	сперечатися (noun)
UK593	падаль (noun)
UK708	прутень (noun)
UK417	хуйло́ (noun)
UK471	корів (noun)
UK479	би́дло (noun)
UK2084	Курка (noun)
UK226	розбійник (noun)
UK802	мить (noun)
UK1573	убивця (noun)
UK1230	блазень (noun)
UK1107	купа (noun)
UK374	жорстокість (noun)
UK2041	Плітки (noun)
UK544	БОМЖ (noun)
UK1842	Баран (noun)
UK1497	інвалідів (noun)
UK1186	Коханець (noun)
UK2178	жаби (noun)
UK1641	суміші (noun)
UK616	наклеп (noun)
UK2097	чорний (adjective)
UK1643	туалети (noun)
UK2120	контролер (noun)
UK253	пропагує (noun)
UK358	злочинний (noun)
UK1996	клоун (noun)
UK882	крокодил (noun)
UK1690	Рило (noun)
UK1746	Паразити (noun)
UK140	згвалтування (noun)
UK932	Огірок (noun)
UK2245	нісенітниця (noun)
UK506	чорт! (noun)
UK1175	сім'ї (noun)
UK461	касир (noun)
UK1163	зло (noun)
UK337	вигадка (noun)
UK127	істота (noun)
UK1846	дурість (noun)
UK1651	туалет (noun)
UK204	бордель (noun)
UK920	синок (noun)
UK2106	доцент (noun)
UK227	бандит (noun)
UK43	академічний (noun)
UK777	журналіст (noun)
UK2095	немовлят (noun)
UK995	Кримінал (noun)
UK592	Падло (noun)
UK1640	суміш (noun)
UK1281	Фашисти (noun)
UK540	дрянь (noun)
UK924	пизда (noun)
UK173	віслю́к (noun)
UK955	обман (noun)
UK2026	спад (noun)
UK1615	Заздрість (noun)
UK574	в'язень (noun)
UK2373	насильства (noun)
UK1395	повій (noun)
UK1542	Учитель (noun)
UK681	Козел (noun)
UK2092	Курятина (noun)
UK1654	туалетів (noun)
UK735	Професор (noun)
UK1376	брудні гроші (noun)
UK207	Бордель (noun)
UK1234	наркоман (noun)
UK225	Баласт (noun)
UK870	сови (noun)
UK1486	дівка (noun)
UK2420	Роми (noun)
UK1637	вчителька (noun)
UK141	зґвалтування (noun)
UK897	селекціонер (noun)
UK2062	Воша (noun)
UK2059	Воші (noun)
UK2188	красти (verb)
UK1968	гарбу́з (noun)
UK939	огірок (noun)
UK1231	блазня (noun)
UK230	Барбари (noun)
UK1880	злодій (noun)
UK709	хуй (noun)
UK400	бовдур (noun)
UK1388	Шмара (noun)
UK83	жарт (noun)
UK977	Придурок (noun)
UK1960	вбивств (noun)
UK1320	детектив (noun)
UK996	Злочини (noun)
UK460	снайпер (noun)
UK536	обсяг (noun)
UK1945	терористичний (noun)
UK6	Лінь (noun)
UK1385	Проститутка (noun)
UK1543	інструктор (noun)
UK257	Адвокат (noun)
UK613	сука (noun)
UK1133	співробітник (noun)
UK1390	проституція (noun)
UK2371	Насильство (noun)
UK626	Наклеп (noun)
UK1410	Гомосексуальність (noun)
UK2415	Цигани (noun)
UK1326	сват (noun)
UK564	погано (adjective)
UK2271	Терорист (noun)
UK2128	Викрадення людини (noun)
UK674	рід (noun)
UK292	проститутка (noun)
UK151	йолоп (noun)
UK697	козу (noun)
UK672	племені (noun)
UK2315	Птахи (noun)
UK252	прихильник (noun)
UK1782	щурів (noun)
UK2090	кури (noun)
UK2267	Терористи (noun)
UK356	злочинець (noun)
UK824	Металобрухт (noun)
UK1452	маляр (noun)
UK1815	Акули (noun)
UK2121	Бухгалтер (noun)
UK1841	Вівці (noun)
UK1898	негрів (noun)
UK1962	Вбивства (noun)
UK2087	Кури (noun)
UK1699	офіцер (noun)
UK1264	гнів (noun)
UK1146	Мораль (noun)
UK702	ілюзія (noun)
UK2142	пограбували (noun)
UK1721	Воли (noun)
UK267	барон (noun)
UK360	бандитів (noun)
UK1797	риторики (noun)
UK185	жадібність (noun)
UK2093	дитина (noun)
UK1619	Гнів (noun)
UK2108	пропаганда (noun)
UK646	Сука (noun)
UK1544	Вчитель (noun)
UK547	Бомжі (noun)
UK2397	змія́ (noun)
UK1769	порося (noun)
UK286	дурний (noun)
UK954	Брехливість (noun)
UK1707	мафії (noun)
UK1386	Шльондра (noun)
UK1450	бездомний (noun)
UK942	відбирати (noun)
UK729	Каста (noun)
UK2265	теракт (noun)
UK532	свавілля (noun)
UK1844	овець (noun)
UK2154	брудний (adjective)
UK198	Жадібність (noun)
UK89	залишки (noun)
UK1702	поліцейських (noun)
UK1201	вимагати (noun)
UK364	цап (noun)
UK1444	стадо (noun)
UK877	дрочити (noun)
UK1213	сморід (noun)
UK867	Сови (noun)
UK639	сволота (noun)
UK1520	рівень бідності (noun)
UK1528	невігластво (noun)
UK244	адвокат (noun)
UK1541	Наставник (noun)
UK1217	риби (noun)
UK2308	відьма (noun)
UK1430	єврей (noun)
UK254	Адвокати (noun)
UK655	собак (noun)
UK1389	Проституція (noun)
UK125	Тварина (noun)
UK222	тест (noun)
UK3	брехати (verb)
UK2323	каналізацію (noun)
UK1886	самозакоханий (noun)
UK1954	вбивства (noun)
UK256	адвока́т (noun)
UK662	клан (noun)
UK1056	тьху (noun)
UK2421	циган (noun)
UK994	злочин (noun)
UK170	Віслюк (noun)
UK2020	померти (verb)
UK1200	швидка (noun)
UK2039	плітки (noun)
UK501	власник бізнесу (noun)
UK1345	їбати (verb)
UK341	виробник (noun)
UK2235	бідний (adjective)
UK537	віл (noun)
UK1798	ватажок (noun)
UK2173	жаба (noun)
UK1998	клоуни (noun)
UK1127	педагог (noun)
UK930	огірки (noun)
UK1322	кицька (noun)
UK794	підора́с (noun)
UK174	дупу (noun)
UK1391	джон (noun)
UK120	Тварини (noun)
UK966	коханець (noun)
UK359	бандити (noun)
UK129	тварин (noun)
UK2234	бідні (adjective)
UK607	Невігластво (noun)
UK2058	воша (noun)
UK2021	картоплі (noun)
UK1792	Риторика (noun)
UK1437	євреїв (noun)
UK2216	єврейський (adjective)
UK362	зловмисник (noun)
UK876	екіпаж (noun)
UK1720	бик (noun)
UK39	академія (noun)
UK757	fuck (noun)
UK2098	сліпий (adjective)
UK1357	свиней (noun)
UK1761	Зло (noun)
UK1196	фермер (noun)
UK1237	Збіговисько (noun)
UK1152	звичаї (noun)
UK1613	Зависть (noun)
UK2096	новонароджених (noun)
UK975	Дурко (noun)
UK1753	приходу (noun)
UK1639	Суміш (noun)
UK2071	дрочить (noun)
UK1387	Повія (noun)
UK95	агресивний (adjective)
UK1280	Фашист (noun)
UK436	псувати (noun)
UK2164	Жаба (noun)
UK1622	безлад (noun)
UK2409	зра́дник (noun)
UK712	проблемою (noun)
UK1922	білих (noun)
UK570	гурток (noun)
UK497	селян (noun)
UK499	підприємець (noun)
UK351	банди (noun)
UK830	прослуховування (noun)
UK696	коза (noun)
UK2375	Гадюка (noun)
UK1278	фашизму (noun)
UK933	Огірки (noun)
UK734	професор (noun)
UK289	повія (noun)
UK1693	nerd (noun)
UK1780	пропагандист (noun)
UK1778	Гордість (noun)
UK1396	є-не (noun)
UK2355	продажність (noun)
UK602	ідіот (noun)
UK1185	Коханка (noun)
UK2372	Насилля (noun)
UK1700	поліцейський (noun)
UK481	корова (noun)
UK1610	заздрість (noun)
UK1000	злочинців (noun)
UK2085	курка (noun)
UK2	гавкати (verb)
UK1135	злочинів (noun)
UK727	каст (noun)
UK327	хаос (noun)
UK1527	незнання (noun)
UK1499	інвалідність (noun)
UK903	Гібрид (noun)
UK642	Собаки (noun)
UK643	пес (noun)
UK1327	заступник (noun)
UK778	кореспондент (noun)
UK273	мародер (noun)
UK308	неправда (noun)
UK1065	за (noun)
UK695	Цап (noun)
UK36	фактор (noun)
UK914	відповідності (noun)
UK2403	перебіжчик (noun)
UK13	виділення (noun)
UK1436	Євреї (noun)
UK1518	бідних (noun)
UK591	Падаль (noun)
UK53	академік (noun)
UK1118	карлик (noun)
UK520	егоїзм (noun)
UK58	ідіотизм (noun)
UK312	чувак (noun)
UK2089	курей (noun)
UK162	нічого не знаю (noun)
UK985	нікчемність (noun)
UK1443	Стадо (noun)
UK2283	Катування (noun)
UK976	Дурник (noun)
UK545	Бомж (noun)
UK1819	акула (noun)
UK2268	терористів (noun)
UK251	адвокатів (noun)
UK9	лінь (noun)
UK480	Корова (noun)
UK1239	Натовп (noun)
UK232	варварів (noun)
UK1061	Попа (noun)
UK2074	Пірати (noun)
UK2145	затримка (noun)
UK152	дурень (noun)
UK990	Злочинці (noun)
UK1711	мафія (noun)
UK1652	уніта́з (noun)
UK412	ублюдок (noun)
UK1398	гея (noun)
UK1565	Обман (noun)
UK2279	тортури (noun)
UK782	дивний (noun)
UK2266	тероризм (noun)
UK1701	поліціянт (noun)
UK2287	Службовець (noun)
UK2257	сексуальне насильство (noun)
UK416	залупа (noun)
UK365	козел (noun)
UK176	зубр (noun)
UK2122	бухгалтер (noun)
UK1378	видобуток (noun)
UK1944	терорист (noun)
UK1783	Пацюк (noun)
UK2202	Таргани (noun)
UK796	пі́дор (noun)
UK494	Селяни (noun)
UK993	порушення закону (noun)
UK1507	мудак (noun)
UK1805	каналізації (noun)
UK768	зайчики (noun)
UK1431	Ізраїльтяни (noun)
UK1514	бідність (noun)
UK1106	багато (noun)
UK1590	зловживання (noun)
UK1154	моралі (noun)
UK249	міністра (noun)
UK1027	підлість (noun)
UK263	песик (noun)
UK1228	бліх (noun)
UK1210	смердіти (noun)
UK2140	Грабунок (noun)
UK2200	поплічників (noun)
UK1110	тонн (noun)
UK974	Дурень (noun)
UK132	animal (noun)
UK2321	птахів (noun)
UK2141	був (noun)
UK500	бізнесмен (noun)
UK679	Коза (noun)
UK311	Чувак (noun)
UK991	Злочинець (noun)
UK562	поганий (adjective)
UK1508	дупа (noun)
UK1582	комах (noun)
UK1011	Кримінальний авторитет (noun)
UK2424	коро́ва (noun)
UK852	брехливість (noun)
UK1563	брехун (noun)
UK1279	фашизм (noun)
UK229	Бандитизм (noun)
UK1556	псевдо (noun)
UK1552	леді (noun)
UK1375	злодіїв (noun)
UK552	негідник (noun)
UK160	гівнюк (noun)
UK1301	під ключ (noun)
UK1103	безліч (noun)
UK295	шльондра (noun)
UK2029	картопля (noun)
UK792	геїв (noun)
UK425	шантажувати (noun)
UK2114	фігня (noun)
UK880	хам (noun)
UK472	скоти́на (noun)
UK2410	зрадника (noun)
UK983	грабіжник (noun)
UK2094	лялька (noun)
UK228	бандитизм (noun)
UK645	Собака (noun)
UK1840	Ягня (noun)
UK50	Академік (noun)
UK1773	бідний (noun)
UK786	гей (noun)
UK638	нахабство (noun)
UK1951	кліщів (noun)
UK1540	Викладач (noun)
UK1866	равлик (noun)
UK1818	акули (noun)
UK2101	китайський (adjective)
UK1060	булочки (noun)
UK1617	злість (noun)
UK2004	Черв (noun)
UK1028	неприємні (noun)
UK1167	вівця (noun)
UK1408	одностатевих (noun)
UK921	хлопчина (noun)
UK868	сова (noun)
UK2417	Циган (noun)
UK1741	паразитів (noun)
UK307	брехня (noun)
UK2118	бухга́лтер (noun)
UK971	Йолоп (noun)
UK1537	Педагог (noun)
UK2190	красти (noun)
UK927	манда (noun)
UK1019	бруд (noun)
UK1371	крадіжка (noun)
UK600	слабак (noun)
UK1511	Нонсенс (noun)
UK1893	чорна (noun)
UK304	курва (noun)
UK1204	Вимагання (noun)
UK294	шлак (noun)
UK538	мерзотник (noun)
UK1977	Брехун (noun)
UK54	розумово відсталих (noun)
UK1955	вбивство (noun)
UK1961	Убивство (noun)
UK2159	жаб (noun)
UK783	Квір (noun)
UK565	злий (adjective)
UK2025	бульба (noun)
UK704	сп'яніння (noun)
UK1174	родичі (noun)
UK1653	lav (noun)
UK1433	Єврей (noun)
UK1022	бруду (noun)
UK1134	любитель (noun)
UK1506	інвалідності (noun)
UK2311	птах (noun)
UK2241	розумний (adjective)
UK1505	Інвалідність (noun)
UK950	мадам (noun)
UK354	шахрай (noun)
UK673	Племена (noun)
UK2356	продажних (noun)
UK1374	крадіжки (noun)
UK1557	самозванець (noun)
UK262	собачка (noun)
UK716	простих людей (noun)
UK743	капуста (noun)
UK2146	захоплення (noun)
UK44	викладач (noun)
UK1993	гадюка (noun)
UK2175	Жаби (noun)
UK1503	відключення (noun)
UK1361	свиня (noun)
UK748	натовп (noun)
UK1738	лох (noun)
UK322	Чувирло (noun)
UK732	Професори (noun)
UK660	племен (noun)
UK1695	немовля (noun)
UK1032	лицемірство (noun)
UK671	клану (noun)
UK1571	вбивця (noun)
UK255	адвоката (noun)
UK1648	туалету (noun)
UK2210	Шакали (noun)
UK1034	лицемір (noun)
UK1963	Вбивця (noun)
UK1446	маси (noun)
UK1221	рибою (noun)
UK1172	інвалід (noun)
UK212	яйце (noun)
UK2102	китайська (adjective)
UK827	сміття (noun)
UK133	тварина (noun)
UK287	жінка на вулиці (noun)
UK2227	дурний (adjective)
UK1985	нещасний (noun)
UK1921	чорний (noun)
UK1033	Лицемірство (noun)
UK478	корови (noun)
UK1860	кулі (noun)
UK260	юри́ст (noun)
UK1523	бездіяльність (noun)
UK1588	Комахи (noun)
UK1500	Інвалід (noun)
UK1799	скорпіон (noun)
